instance_folder,instance_id,noise_factor,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,obj_pi
j10,4,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 9, 2, 2, 1, 8, 2, 2, 8, 9, 10, 0]",SAA_smart,37.0
j10,4,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 3, 1, 5, 2, 10, 1, 6, 4, 13, 10, 0]",SAA_smart,38.0
j10,4,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 3, 1, 3, 5, 2, 2, 4, 3, 3, 5, 0]",SAA_smart,33.0
j10,4,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 6, 2, 2, 4, 8, 1, 1, 3, 13, 8, 0]",SAA_smart,37.0
j10,4,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 9, 2, 8, 4, 12, 1, 7, 1, 11, 8, 0]",SAA_smart,44.0
j10,4,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 9, 2, 2, 4, 2, 1, 6, 7, 7, 6, 0]",SAA_smart,42.0
j10,5,2,proactive_SAA_smart,180,False,inf,0.244004487991333,inf,"[0, 3, 19, 0, 10, 32, 19, 34, 16, 6, 35, 44]","[0, 8, 14, 1, 1, 2, 7, 1, 1, 2, 10, 0]",SAA_smart,32.0
j10,5,2,proactive_SAA_smart,180,True,48.0,0.244004487991333,0.0009937286376953125,"[0, 3, 19, 0, 10, 32, 19, 34, 16, 6, 35, 44]","[0, 9, 12, 3, 5, 3, 7, 3, 1, 4, 13, 0]",SAA_smart,39.0
j10,5,2,proactive_SAA_smart,180,True,47.0,0.244004487991333,0.0,"[0, 3, 19, 0, 10, 32, 19, 34, 16, 6, 35, 44]","[0, 5, 7, 2, 2, 3, 2, 7, 2, 2, 12, 0]",SAA_smart,28.0
j10,5,2,proactive_SAA_smart,180,True,44.0,0.244004487991333,0.0,"[0, 3, 19, 0, 10, 32, 19, 34, 16, 6, 35, 44]","[0, 10, 9, 2, 2, 1, 3, 9, 1, 6, 6, 0]",SAA_smart,26.0
j10,5,2,proactive_SAA_smart,180,True,44.0,0.244004487991333,0.0,"[0, 3, 19, 0, 10, 32, 19, 34, 16, 6, 35, 44]","[0, 13, 12, 1, 4, 3, 7, 2, 2, 4, 7, 0]",SAA_smart,34.0
j10,5,2,proactive_SAA_smart,180,True,44.0,0.244004487991333,0.0,"[0, 3, 19, 0, 10, 32, 19, 34, 16, 6, 35, 44]","[0, 11, 4, 1, 3, 1, 2, 4, 2, 3, 3, 0]",SAA_smart,24.0
j10,5,2,proactive_SAA_smart,180,True,45.0,0.244004487991333,0.0,"[0, 3, 19, 0, 10, 32, 19, 34, 16, 6, 35, 44]","[0, 7, 12, 3, 3, 2, 10, 7, 2, 4, 10, 0]",SAA_smart,36.0
j10,5,2,proactive_SAA_smart,180,True,45.0,0.244004487991333,0.0,"[0, 3, 19, 0, 10, 32, 19, 34, 16, 6, 35, 44]","[0, 10, 7, 2, 2, 3, 10, 1, 3, 3, 10, 0]",SAA_smart,38.0
j10,5,2,proactive_SAA_smart,180,True,44.0,0.244004487991333,0.0,"[0, 3, 19, 0, 10, 32, 19, 34, 16, 6, 35, 44]","[0, 10, 12, 1, 3, 3, 2, 9, 2, 2, 6, 0]",SAA_smart,27.0
j10,5,2,proactive_SAA_smart,180,True,44.0,0.244004487991333,0.0,"[0, 3, 19, 0, 10, 32, 19, 34, 16, 6, 35, 44]","[0, 3, 11, 2, 5, 2, 8, 3, 1, 4, 8, 0]",SAA_smart,27.0
j10,6,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 3, 1, 7, 8, 9, 12, 2, 1, 4, 9, 0]",SAA_smart,41.0
j10,6,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 1, 1, 2, 5, 3, 6, 2, 1, 3, 5, 0]",SAA_smart,23.0
j10,6,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 1, 8, 2, 2, 6, 3, 1, 2, 9, 5, 0]",SAA_smart,27.0
j10,7,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 13, 1, 6, 5, 6, 8, 8, 2, 4, 1, 0]",SAA_smart,41.0
j10,7,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 4, 1, 1, 6, 12, 2, 1, 4, 9, 2, 0]",SAA_smart,43.0
j10,7,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 12, 1, 7, 12, 5, 8, 7, 5, 14, 2, 0]",SAA_smart,51.0
j10,7,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 6, 1, 1, 3, 4, 3, 8, 2, 10, 4, 0]",SAA_smart,44.0
j10,7,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 13, 1, 7, 3, 10, 8, 8, 2, 4, 4, 0]",SAA_smart,45.0
j10,8,2,proactive_SAA_smart,180,True,59.0,0.16399669647216797,0.0,"[0, 14, 0, 5, 32, 27, 25, 49, 29, 45, 54, 57]","[0, 8, 14, 5, 11, 6, 1, 1, 2, 1, 5, 0]",SAA_smart,43.0
j10,8,2,proactive_SAA_smart,180,True,59.0,0.16399669647216797,0.0009996891021728516,"[0, 14, 0, 5, 32, 27, 25, 49, 29, 45, 54, 57]","[0, 9, 12, 3, 7, 6, 3, 5, 1, 1, 5, 0]",SAA_smart,44.0
j10,8,2,proactive_SAA_smart,180,True,57.0,0.16399669647216797,0.0,"[0, 14, 0, 5, 32, 27, 25, 49, 29, 45, 54, 57]","[0, 5, 7, 2, 4, 8, 1, 2, 2, 2, 2, 0]",SAA_smart,38.0
j10,8,2,proactive_SAA_smart,180,True,57.0,0.16399669647216797,0.0,"[0, 14, 0, 5, 32, 27, 25, 49, 29, 45, 54, 57]","[0, 4, 3, 5, 4, 9, 1, 4, 3, 2, 1, 0]",SAA_smart,40.0
j10,8,2,proactive_SAA_smart,180,True,57.0,0.16399669647216797,0.0,"[0, 14, 0, 5, 32, 27, 25, 49, 29, 45, 54, 57]","[0, 10, 6, 7, 8, 2, 2, 4, 1, 1, 2, 0]",SAA_smart,37.0
j10,8,2,proactive_SAA_smart,180,False,inf,0.16399669647216797,inf,"[0, 14, 0, 5, 32, 27, 25, 49, 29, 45, 54, 57]","[0, 14, 15, 3, 7, 1, 4, 2, 3, 2, 1, 0]",SAA_smart,49.0
j10,8,2,proactive_SAA_smart,180,True,57.0,0.16399669647216797,0.0,"[0, 14, 0, 5, 32, 27, 25, 49, 29, 45, 54, 57]","[0, 7, 12, 3, 10, 8, 3, 2, 1, 1, 2, 0]",SAA_smart,41.0
j10,8,2,proactive_SAA_smart,180,True,57.0,0.16399669647216797,0.0,"[0, 14, 0, 5, 32, 27, 25, 49, 29, 45, 54, 57]","[0, 6, 10, 7, 10, 5, 4, 2, 3, 1, 1, 0]",SAA_smart,39.0
j10,8,2,proactive_SAA_smart,180,True,57.0,0.16399669647216797,0.0,"[0, 14, 0, 5, 32, 27, 25, 49, 29, 45, 54, 57]","[0, 5, 13, 2, 10, 4, 5, 3, 3, 1, 1, 0]",SAA_smart,42.0
j10,8,2,proactive_SAA_smart,180,True,59.0,0.16399669647216797,0.0009999275207519531,"[0, 14, 0, 5, 32, 27, 25, 49, 29, 45, 54, 57]","[0, 11, 10, 2, 4, 4, 1, 1, 2, 2, 5, 0]",SAA_smart,41.0
j10,9,2,proactive_SAA_smart,180,True,62.0,0.5640075206756592,0.0,"[0, 0, 21, 13, 0, 16, 27, 38, 52, 43, 36, 62]","[0, 6, 14, 1, 11, 11, 6, 2, 3, 2, 5, 0]",SAA_smart,39.0
j10,9,2,proactive_SAA_smart,180,True,62.0,0.5640075206756592,0.0,"[0, 0, 21, 13, 0, 16, 27, 38, 52, 43, 36, 62]","[0, 8, 15, 3, 12, 4, 5, 7, 5, 5, 4, 0]",SAA_smart,43.0
j10,9,2,proactive_SAA_smart,180,True,64.0,0.5640075206756592,0.0,"[0, 0, 21, 13, 0, 16, 27, 38, 52, 43, 36, 62]","[0, 5, 13, 1, 5, 6, 8, 9, 12, 2, 7, 0]",SAA_smart,45.0
j10,9,2,proactive_SAA_smart,180,True,64.0,0.5640075206756592,0.0,"[0, 0, 21, 13, 0, 16, 27, 38, 52, 43, 36, 62]","[0, 1, 9, 2, 12, 11, 8, 8, 12, 2, 1, 0]",SAA_smart,54.0
j10,9,2,proactive_SAA_smart,180,True,62.0,0.5640075206756592,0.0,"[0, 0, 21, 13, 0, 16, 27, 38, 52, 43, 36, 62]","[0, 5, 4, 1, 11, 5, 9, 9, 6, 7, 6, 0]",SAA_smart,44.0
j10,9,2,proactive_SAA_smart,180,True,62.0,0.5640075206756592,0.0,"[0, 0, 21, 13, 0, 16, 27, 38, 52, 43, 36, 62]","[0, 2, 12, 1, 11, 3, 5, 2, 6, 3, 1, 0]",SAA_smart,34.0
j10,9,2,proactive_SAA_smart,180,True,64.0,0.5640075206756592,0.001013040542602539,"[0, 0, 21, 13, 0, 16, 27, 38, 52, 43, 36, 62]","[0, 5, 12, 3, 10, 9, 9, 8, 12, 4, 7, 0]",SAA_smart,54.0
j10,9,2,proactive_SAA_smart,180,True,62.0,0.5640075206756592,0.0,"[0, 0, 21, 13, 0, 16, 27, 38, 52, 43, 36, 62]","[0, 8, 7, 2, 12, 5, 7, 10, 3, 3, 3, 0]",SAA_smart,42.0
j10,9,2,proactive_SAA_smart,180,True,62.0,0.5640075206756592,0.0009999275207519531,"[0, 0, 21, 13, 0, 16, 27, 38, 52, 43, 36, 62]","[0, 8, 10, 2, 10, 5, 1, 10, 10, 8, 2, 0]",SAA_smart,45.0
j10,9,2,proactive_SAA_smart,180,True,62.0,0.5640075206756592,0.0,"[0, 0, 21, 13, 0, 16, 27, 38, 52, 43, 36, 62]","[0, 2, 6, 1, 11, 8, 5, 7, 9, 3, 5, 0]",SAA_smart,44.0
