instance_folder,instance_id,noise_factor,method,time_limit_cp_stnu,can_build_stnu,dc,obj,feasibility,real_durations,start_times,time_offline,time_online,mode,obj_pi
j10,4,2,STNU_robust,60,,False,inf,False,"[0, 9, 2, 2, 4, 2, 1, 6, 7, 7, 6, 0]",,inf,inf,robust,42.0
j10,5,2,STNU_robust,60,,False,inf,False,"[0, 8, 14, 1, 1, 2, 7, 1, 1, 2, 10, 0]",,inf,inf,robust,32.0
j10,5,2,STNU_robust,60,,False,inf,False,"[0, 9, 12, 3, 5, 3, 7, 3, 1, 4, 13, 0]",,inf,inf,robust,39.0
j10,5,2,STNU_robust,60,,False,inf,False,"[0, 5, 7, 2, 2, 3, 2, 7, 2, 2, 12, 0]",,inf,inf,robust,28.0
j10,5,2,STNU_robust,60,,False,inf,False,"[0, 10, 9, 2, 2, 1, 3, 9, 1, 6, 6, 0]",,inf,inf,robust,26.0
j10,5,2,STNU_robust,60,,False,inf,False,"[0, 13, 12, 1, 4, 3, 7, 2, 2, 4, 7, 0]",,inf,inf,robust,34.0
j10,5,2,STNU_robust,60,,False,inf,False,"[0, 11, 4, 1, 3, 1, 2, 4, 2, 3, 3, 0]",,inf,inf,robust,24.0
j10,5,2,STNU_robust,60,,False,inf,False,"[0, 7, 12, 3, 3, 2, 10, 7, 2, 4, 10, 0]",,inf,inf,robust,36.0
j10,5,2,STNU_robust,60,,False,inf,False,"[0, 10, 7, 2, 2, 3, 10, 1, 3, 3, 10, 0]",,inf,inf,robust,38.0
j10,5,2,STNU_robust,60,,False,inf,False,"[0, 10, 12, 1, 3, 3, 2, 9, 2, 2, 6, 0]",,inf,inf,robust,27.0
j10,5,2,STNU_robust,60,,False,inf,False,"[0, 3, 11, 2, 5, 2, 8, 3, 1, 4, 8, 0]",,inf,inf,robust,27.0
j10,6,2,STNU_robust,60,,False,inf,False,"[0, 3, 1, 7, 8, 9, 12, 2, 1, 4, 9, 0]",,inf,inf,robust,41.0
j10,6,2,STNU_robust,60,,False,inf,False,"[0, 1, 1, 2, 5, 3, 6, 2, 1, 3, 5, 0]",,inf,inf,robust,23.0
j10,6,2,STNU_robust,60,,False,inf,False,"[0, 1, 8, 2, 2, 6, 3, 1, 2, 9, 5, 0]",,inf,inf,robust,27.0
j10,7,2,STNU_robust,60,,False,inf,False,"[0, 13, 1, 6, 5, 6, 8, 8, 2, 4, 1, 0]",,inf,inf,robust,41.0
j10,7,2,STNU_robust,60,,False,inf,False,"[0, 4, 1, 1, 6, 12, 2, 1, 4, 9, 2, 0]",,inf,inf,robust,43.0
j10,7,2,STNU_robust,60,,False,inf,False,"[0, 12, 1, 7, 12, 5, 8, 7, 5, 14, 2, 0]",,inf,inf,robust,51.0
j10,7,2,STNU_robust,60,,False,inf,False,"[0, 6, 1, 1, 3, 4, 3, 8, 2, 10, 4, 0]",,inf,inf,robust,44.0
j10,7,2,STNU_robust,60,,False,inf,False,"[0, 13, 1, 7, 3, 10, 8, 8, 2, 4, 4, 0]",,inf,inf,robust,45.0
j10,8,2,STNU_robust,60,,False,inf,False,"[0, 8, 14, 5, 11, 6, 1, 1, 2, 1, 5, 0]",,inf,inf,robust,43.0
j10,8,2,STNU_robust,60,,False,inf,False,"[0, 9, 12, 3, 7, 6, 3, 5, 1, 1, 5, 0]",,inf,inf,robust,44.0
j10,8,2,STNU_robust,60,,False,inf,False,"[0, 5, 7, 2, 4, 8, 1, 2, 2, 2, 2, 0]",,inf,inf,robust,38.0
j10,8,2,STNU_robust,60,,False,inf,False,"[0, 4, 3, 5, 4, 9, 1, 4, 3, 2, 1, 0]",,inf,inf,robust,40.0
j10,8,2,STNU_robust,60,,False,inf,False,"[0, 10, 6, 7, 8, 2, 2, 4, 1, 1, 2, 0]",,inf,inf,robust,37.0
j10,8,2,STNU_robust,60,,False,inf,False,"[0, 14, 15, 3, 7, 1, 4, 2, 3, 2, 1, 0]",,inf,inf,robust,49.0
j10,8,2,STNU_robust,60,,False,inf,False,"[0, 7, 12, 3, 10, 8, 3, 2, 1, 1, 2, 0]",,inf,inf,robust,41.0
j10,8,2,STNU_robust,60,,False,inf,False,"[0, 6, 10, 7, 10, 5, 4, 2, 3, 1, 1, 0]",,inf,inf,robust,39.0
j10,8,2,STNU_robust,60,,False,inf,False,"[0, 5, 13, 2, 10, 4, 5, 3, 3, 1, 1, 0]",,inf,inf,robust,42.0
j10,8,2,STNU_robust,60,,False,inf,False,"[0, 11, 10, 2, 4, 4, 1, 1, 2, 2, 5, 0]",,inf,inf,robust,41.0
j10,9,2,STNU_robust,60,True,True,48.0,True,"[0, 6, 14, 1, 11, 11, 6, 2, 3, 2, 5, 0]","[0, 0, 12, 11, 0, 12, 32, 29, 38, 30, 25, 48]",0.5802149772644043,0.004252910614013672,robust,39.0
j10,9,2,STNU_robust,60,True,True,54.0,True,"[0, 8, 15, 3, 12, 4, 5, 7, 5, 5, 4, 0]","[0, 0, 15, 12, 0, 15, 39, 32, 44, 32, 28, 54]",0.5802149772644043,0.004097700119018555,robust,43.0
j10,9,2,STNU_robust,60,True,True,52.0,True,"[0, 5, 13, 1, 5, 6, 8, 9, 12, 2, 7, 0]","[0, 0, 6, 5, 0, 6, 32, 23, 40, 26, 19, 50]",0.5802149772644043,0.0040438175201416016,robust,45.0
j10,9,2,STNU_robust,60,True,True,59.0,True,"[0, 1, 9, 2, 12, 11, 8, 8, 12, 2, 1, 0]","[0, 0, 14, 12, 0, 14, 39, 31, 47, 28, 27, 57]",0.5802149772644043,0.004118204116821289,robust,54.0
j10,9,2,STNU_robust,60,True,True,57.0,True,"[0, 5, 4, 1, 11, 5, 9, 9, 6, 7, 6, 0]","[0, 0, 12, 11, 0, 12, 38, 29, 47, 31, 25, 57]",0.5802149772644043,0.0041658878326416016,robust,44.0
j10,9,2,STNU_robust,60,True,True,46.0,True,"[0, 2, 12, 1, 11, 3, 5, 2, 6, 3, 1, 0]","[0, 0, 12, 11, 0, 12, 31, 29, 36, 26, 25, 46]",0.5802149772644043,0.004171133041381836,robust,34.0
j10,9,2,STNU_robust,60,True,True,59.0,True,"[0, 5, 12, 3, 10, 9, 9, 8, 12, 4, 7, 0]","[0, 0, 13, 10, 0, 13, 38, 30, 47, 33, 26, 57]",0.5802149772644043,0.004187107086181641,robust,54.0
j10,9,2,STNU_robust,60,True,True,58.0,True,"[0, 8, 7, 2, 12, 5, 7, 10, 3, 3, 3, 0]","[0, 0, 14, 12, 0, 14, 41, 31, 48, 30, 27, 58]",0.5802149772644043,0.0040740966796875,robust,42.0
j10,9,2,STNU_robust,60,True,True,50.0,True,"[0, 8, 10, 2, 10, 5, 1, 10, 10, 8, 2, 0]","[0, 0, 12, 10, 0, 12, 39, 29, 40, 27, 25, 50]",0.5802149772644043,0.004163980484008789,robust,45.0
j10,9,2,STNU_robust,60,True,True,51.0,True,"[0, 2, 6, 1, 11, 8, 5, 7, 9, 3, 5, 0]","[0, 0, 12, 11, 0, 12, 36, 29, 41, 30, 25, 51]",0.5802149772644043,0.004046201705932617,robust,44.0
j10,10,2,STNU_robust,60,True,True,35.0,True,"[0, 6, 4, 1, 1, 12, 4, 6, 1, 1, 2, 0]","[0, 0, 8, 12, 13, 13, 29, 14, 28, 25, 26, 35]",0.3707258701324463,0.004194021224975586,robust,31.0
j10,10,2,STNU_robust,60,True,True,39.0,True,"[0, 5, 5, 1, 2, 5, 5, 7, 6, 3, 5, 0]","[0, 0, 8, 13, 14, 14, 34, 16, 28, 19, 23, 37]",0.3707258701324463,0.004189968109130859,robust,38.0
j10,10,2,STNU_robust,60,True,True,35.0,True,"[0, 4, 5, 1, 5, 5, 5, 2, 2, 1, 7, 0]","[0, 0, 8, 13, 14, 14, 30, 19, 28, 19, 21, 35]",0.3707258701324463,0.004091978073120117,robust,34.0
j10,10,2,STNU_robust,60,True,True,35.0,True,"[0, 6, 2, 2, 6, 9, 2, 2, 1, 5, 2, 0]","[0, 0, 8, 10, 12, 12, 29, 18, 28, 21, 26, 35]",0.3707258701324463,0.00441288948059082,robust,28.0
j10,10,2,STNU_robust,60,True,True,46.0,True,"[0, 1, 1, 2, 4, 13, 2, 1, 8, 4, 7, 0]","[0, 0, 8, 9, 11, 11, 43, 15, 35, 24, 28, 46]",0.3707258701324463,0.0041353702545166016,robust,39.0
j10,10,2,STNU_robust,60,True,True,39.0,True,"[0, 6, 2, 2, 4, 7, 1, 2, 11, 5, 1, 0]","[0, 0, 8, 10, 12, 12, 36, 16, 25, 19, 24, 39]",0.3707258701324463,0.004369974136352539,robust,32.0
j10,10,2,STNU_robust,60,True,True,30.0,True,"[0, 6, 4, 2, 3, 3, 5, 2, 3, 3, 2, 0]","[0, 0, 8, 12, 14, 14, 25, 17, 22, 17, 20, 29]",0.3707258701324463,0.004029989242553711,robust,28.0
j10,10,2,STNU_robust,60,True,True,39.0,True,"[0, 1, 2, 2, 7, 10, 5, 4, 6, 2, 4, 0]","[0, 0, 8, 10, 12, 12, 34, 19, 28, 22, 24, 37]",0.3707258701324463,0.00409388542175293,robust,37.0
j10,10,2,STNU_robust,60,True,True,39.0,True,"[0, 7, 1, 1, 3, 13, 2, 4, 11, 1, 1, 0]","[0, 0, 8, 9, 10, 10, 36, 13, 25, 23, 24, 39]",0.3707258701324463,0.0040776729583740234,robust,36.0
j10,10,2,STNU_robust,60,True,True,39.0,True,"[0, 8, 2, 2, 6, 6, 1, 1, 7, 5, 6, 0]","[0, 0, 8, 10, 12, 12, 36, 18, 29, 18, 23, 39]",0.3707258701324463,0.004102230072021484,robust,37.0
