,instance_folder,instance_id,noise_factor,sample,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
10,ubo100,2,0.5,0,"[0, 7, 4, 6, 1, 6, 1, 1, 6, 4, 5, 5, 3, 6, 6, 4, 8, 6, 6, 9, 7, 1, 9, 4, 10, 2, 2, 1, 5, 7, 1, 5, 1, 4, 1, 7, 9, 10, 5, 1, 5, 5, 4, 3, 1, 5, 8, 4, 2, 1, 7, 2, 1, 4, 6, 10, 7, 6, 2, 7, 3, 4, 3, 7, 7, 1, 1, 9, 7, 4, 1, 2, 1, 10, 1, 9, 9, 4, 1, 4, 7, 4, 7, 1, 6, 5, 1, 4, 1, 3, 2, 9, 9, 8, 4, 3, 4, 4, 7, 10, 6, 0]",600,600.002,Feasible,0.141827,416.0
11,ubo100,2,0.5,1,"[0, 6, 3, 7, 1, 8, 1, 1, 6, 3, 5, 6, 4, 7, 6, 3, 10, 6, 6, 7, 9, 1, 9, 5, 8, 2, 2, 1, 5, 8, 1, 4, 1, 5, 1, 6, 7, 9, 6, 1, 6, 4, 4, 3, 1, 7, 6, 4, 2, 1, 7, 2, 1, 4, 6, 8, 6, 5, 2, 9, 3, 4, 4, 8, 6, 1, 1, 8, 6, 4, 1, 2, 1, 10, 1, 7, 9, 5, 1, 4, 7, 5, 7, 1, 6, 5, 1, 4, 1, 3, 2, 8, 8, 7, 6, 3, 4, 3, 7, 9, 7, 0]",600,0.004,Infeasible,,
12,ubo100,2,0.5,2,"[0, 6, 3, 8, 1, 8, 1, 1, 7, 3, 5, 7, 3, 7, 8, 3, 10, 5, 6, 9, 7, 1, 9, 3, 10, 2, 2, 1, 6, 8, 1, 4, 1, 6, 1, 7, 8, 8, 7, 1, 4, 5, 3, 4, 1, 6, 6, 4, 2, 1, 7, 2, 1, 4, 7, 9, 6, 5, 2, 9, 4, 3, 4, 7, 7, 1, 1, 9, 7, 5, 1, 2, 1, 8, 1, 8, 8, 4, 1, 3, 8, 5, 7, 1, 7, 3, 1, 6, 1, 4, 2, 8, 8, 8, 5, 3, 3, 3, 7, 8, 6, 0]",600,600.002,Feasible,0.143552,411.0
13,ubo100,2,0.5,3,"[0, 7, 4, 7, 1, 8, 1, 1, 5, 4, 4, 7, 3, 6, 6, 5, 8, 6, 7, 7, 8, 1, 7, 3, 8, 2, 2, 1, 6, 9, 1, 4, 1, 4, 1, 6, 7, 9, 7, 1, 4, 4, 4, 3, 1, 7, 8, 4, 2, 1, 8, 2, 1, 4, 6, 10, 6, 7, 2, 7, 3, 3, 4, 7, 7, 1, 1, 9, 8, 5, 1, 2, 1, 9, 1, 7, 10, 5, 1, 3, 7, 6, 8, 1, 7, 3, 1, 4, 1, 3, 2, 8, 10, 7, 5, 3, 3, 3, 6, 10, 6, 0]",600,600.002,Feasible,0.183374,409.0
14,ubo100,2,0.5,4,"[0, 8, 4, 8, 1, 6, 1, 1, 5, 3, 6, 5, 4, 7, 6, 5, 8, 5, 5, 7, 9, 1, 7, 5, 9, 2, 2, 1, 7, 7, 1, 3, 1, 4, 1, 6, 9, 10, 5, 1, 6, 5, 4, 4, 1, 6, 6, 4, 2, 1, 8, 2, 1, 4, 7, 10, 7, 5, 2, 8, 3, 4, 3, 7, 6, 1, 1, 7, 8, 4, 1, 2, 1, 9, 1, 7, 10, 5, 1, 4, 7, 5, 7, 1, 8, 4, 1, 6, 1, 3, 2, 9, 9, 6, 5, 4, 3, 4, 7, 8, 7, 0]",600,0.004,Infeasible,,
15,ubo100,2,0.5,5,"[0, 6, 3, 6, 1, 8, 1, 1, 7, 3, 6, 5, 4, 7, 6, 4, 10, 5, 5, 9, 9, 1, 9, 3, 9, 2, 2, 1, 7, 8, 1, 4, 1, 5, 1, 7, 7, 9, 7, 1, 5, 4, 3, 3, 1, 7, 7, 3, 2, 1, 6, 2, 1, 3, 7, 10, 6, 6, 2, 8, 4, 3, 4, 8, 6, 1, 1, 8, 8, 4, 1, 2, 1, 8, 1, 7, 10, 4, 1, 4, 8, 4, 6, 1, 6, 5, 1, 5, 1, 3, 2, 10, 8, 7, 4, 4, 3, 3, 5, 10, 7, 0]",600,0.004,Infeasible,,
16,ubo100,2,0.5,6,"[0, 8, 3, 6, 1, 7, 1, 1, 7, 4, 4, 5, 4, 6, 7, 3, 10, 6, 7, 7, 9, 1, 7, 3, 10, 2, 2, 1, 6, 9, 1, 5, 1, 4, 1, 8, 8, 10, 5, 1, 6, 4, 4, 3, 1, 7, 8, 3, 2, 1, 7, 2, 1, 3, 7, 9, 6, 6, 2, 8, 4, 3, 3, 7, 8, 1, 1, 7, 6, 4, 1, 2, 1, 10, 1, 9, 8, 3, 1, 4, 7, 5, 8, 1, 7, 5, 1, 4, 1, 4, 2, 9, 9, 7, 5, 5, 3, 3, 6, 8, 7, 0]",600,600.002,Feasible,0.218391,435.0
17,ubo100,2,0.5,7,"[0, 8, 4, 7, 1, 8, 1, 1, 5, 3, 5, 5, 4, 6, 6, 3, 8, 6, 7, 7, 9, 1, 7, 5, 8, 2, 2, 1, 5, 7, 1, 4, 1, 4, 1, 8, 9, 8, 7, 1, 6, 5, 3, 4, 1, 5, 6, 4, 2, 1, 6, 2, 1, 4, 5, 8, 8, 6, 2, 8, 4, 3, 4, 7, 8, 1, 1, 9, 8, 6, 1, 2, 1, 10, 1, 9, 10, 5, 1, 3, 9, 5, 8, 1, 7, 5, 1, 6, 1, 4, 2, 9, 8, 6, 5, 4, 4, 3, 6, 9, 7, 0]",600,600.002,Feasible,0.192488,426.0
18,ubo100,2,0.5,8,"[0, 7, 4, 7, 1, 8, 1, 1, 7, 4, 6, 6, 4, 5, 6, 4, 8, 5, 6, 9, 9, 1, 9, 3, 8, 2, 2, 1, 7, 7, 1, 5, 1, 5, 1, 8, 7, 9, 5, 1, 4, 6, 4, 4, 1, 7, 6, 3, 2, 1, 6, 2, 1, 4, 5, 8, 6, 5, 2, 9, 3, 4, 3, 9, 8, 1, 1, 8, 7, 6, 1, 2, 1, 8, 1, 7, 9, 5, 1, 3, 9, 5, 7, 1, 8, 3, 1, 6, 1, 4, 2, 9, 10, 7, 5, 4, 4, 4, 7, 8, 5, 0]",600,0.004,Infeasible,,
19,ubo100,2,0.5,9,"[0, 7, 4, 8, 1, 6, 1, 1, 7, 3, 5, 6, 4, 7, 8, 4, 10, 6, 6, 9, 7, 1, 7, 3, 9, 2, 2, 1, 5, 9, 1, 3, 1, 4, 1, 7, 9, 8, 7, 1, 4, 6, 3, 4, 1, 5, 6, 4, 2, 1, 8, 2, 1, 3, 7, 9, 6, 5, 2, 9, 3, 4, 4, 8, 6, 1, 1, 7, 6, 5, 1, 2, 1, 8, 1, 8, 8, 5, 1, 4, 9, 6, 6, 1, 7, 4, 1, 6, 1, 4, 2, 10, 8, 7, 6, 3, 4, 3, 6, 8, 5, 0]",600,600.002,Feasible,0.178998,419.0
