instance_folder,instance_id,noise_factor,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,obj_pi,time_limit_rescheduling,time_limit_initial,solver_calls,estimated_start_times,estimated_durations
j10,18,1,reactive_quantile_0.75,,False,inf,inf,inf,,"[0, 7, 10, 1, 7, 8, 2, 1, 2, 1, 3, 0]",quantile_0.75,27.0,2.0,60.0,1.0,"[0, 0, 6, 9, 0, 11, 23, 16, 16, 25, 20, 26]","[0, 7, 8, 2, 9, 7, 1, 2, 3, 1, 4, 0]"
j10,18,1,reactive_quantile_0.75,,False,inf,inf,inf,,"[0, 8, 11, 1, 12, 6, 1, 1, 4, 1, 4, 0]",quantile_0.75,27.0,2.0,60.0,1.0,"[0, 0, 6, 9, 0, 11, 23, 16, 16, 25, 20, 26]","[0, 8, 8, 2, 9, 7, 1, 2, 3, 1, 4, 0]"
j10,18,1,reactive_quantile_0.75,,False,inf,inf,inf,,"[0, 8, 9, 1, 8, 9, 2, 3, 4, 1, 6, 0]",quantile_0.75,28.0,2.0,60.0,1.0,"[0, 0, 6, 9, 0, 11, 23, 16, 16, 25, 20, 26]","[0, 8, 8, 2, 9, 7, 1, 2, 3, 1, 4, 0]"
j10,18,1,reactive_quantile_0.75,,False,inf,inf,inf,,"[0, 5, 7, 3, 6, 6, 2, 2, 4, 1, 3, 0]",quantile_0.75,26.0,2.0,60.0,1.0,"[0, 0, 6, 9, 0, 11, 23, 16, 16, 25, 20, 26]","[0, 5, 7, 3, 6, 7, 1, 2, 3, 1, 4, 0]"
j10,18,1,reactive_quantile_0.75,,True,26.0,0.03736591339111328,0.21728301048278809,"[0, 0, 6, 9, 0, 11, 23, 16, 16, 25, 20, 26]","[0, 5, 6, 1, 7, 5, 1, 2, 5, 1, 4, 0]",quantile_0.75,26.0,2.0,60.0,1.0,"[0, 0, 6, 9, 0, 11, 23, 16, 16, 25, 20, 26]","[0, 5, 6, 1, 7, 5, 1, 2, 5, 1, 4, 0]"
j10,18,1,reactive_quantile_0.75,,False,inf,inf,inf,,"[0, 5, 6, 3, 9, 6, 2, 1, 2, 1, 3, 0]",quantile_0.75,26.0,2.0,60.0,1.0,"[0, 0, 6, 9, 0, 11, 23, 16, 16, 25, 20, 26]","[0, 5, 6, 3, 9, 7, 1, 2, 3, 1, 4, 0]"
j10,18,1,reactive_quantile_0.75,,False,inf,inf,inf,,"[0, 7, 10, 3, 10, 5, 2, 2, 4, 1, 2, 0]",quantile_0.75,27.0,2.0,60.0,1.0,"[0, 0, 6, 9, 0, 11, 23, 16, 16, 25, 20, 26]","[0, 7, 8, 2, 9, 7, 1, 2, 3, 1, 4, 0]"
j10,18,1,reactive_quantile_0.75,,False,inf,inf,inf,,"[0, 8, 7, 3, 8, 6, 1, 3, 3, 1, 5, 0]",quantile_0.75,27.0,2.0,60.0,1.0,"[0, 0, 6, 9, 0, 11, 23, 16, 16, 25, 20, 26]","[0, 8, 8, 2, 9, 7, 1, 2, 3, 1, 4, 0]"
j10,18,1,reactive_quantile_0.75,,False,inf,inf,inf,,"[0, 8, 9, 2, 7, 8, 1, 1, 2, 1, 4, 0]",quantile_0.75,27.0,2.0,60.0,1.0,"[0, 0, 6, 9, 0, 11, 23, 16, 16, 25, 20, 26]","[0, 8, 8, 2, 7, 7, 1, 2, 3, 1, 4, 0]"
j10,18,1,reactive_quantile_0.75,,True,26.0,0.0369570255279541,0.22510218620300293,"[0, 0, 6, 9, 0, 11, 23, 16, 16, 25, 20, 26]","[0, 6, 7, 1, 8, 5, 1, 2, 3, 1, 5, 0]",quantile_0.75,26.0,2.0,60.0,1.0,"[0, 0, 6, 9, 0, 11, 23, 16, 16, 25, 20, 26]","[0, 6, 7, 1, 8, 5, 1, 2, 3, 1, 5, 0]"
j10,18,1,reactive_quantile_0.9,,True,29.0,0.04109382629394531,0.30321574211120605,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 7, 10, 1, 7, 8, 2, 1, 2, 1, 3, 0]",quantile_0.9,27.0,2.0,60.0,1.0,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 7, 10, 1, 7, 8, 2, 1, 2, 1, 3, 0]"
j10,18,1,reactive_quantile_0.9,,True,29.0,0.038600921630859375,0.21797895431518555,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 8, 11, 1, 12, 6, 1, 1, 4, 1, 4, 0]",quantile_0.9,27.0,2.0,60.0,1.0,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 8, 11, 1, 12, 6, 1, 1, 4, 1, 4, 0]"
j10,18,1,reactive_quantile_0.9,,True,30.0,0.03676199913024902,0.15110301971435547,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 8, 9, 1, 8, 9, 2, 3, 4, 1, 6, 0]",quantile_0.9,28.0,2.0,60.0,1.0,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 8, 9, 1, 8, 9, 2, 3, 4, 1, 6, 0]"
j10,18,1,reactive_quantile_0.9,,True,29.0,0.03840517997741699,0.26492810249328613,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 5, 7, 3, 6, 6, 2, 2, 4, 1, 3, 0]",quantile_0.9,26.0,2.0,60.0,1.0,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 5, 7, 3, 6, 6, 2, 2, 4, 1, 3, 0]"
j10,18,1,reactive_quantile_0.9,,True,29.0,0.03737688064575195,0.29569196701049805,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 5, 6, 1, 7, 5, 1, 2, 5, 1, 4, 0]",quantile_0.9,26.0,2.0,60.0,1.0,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 5, 6, 1, 7, 5, 1, 2, 5, 1, 4, 0]"
j10,18,1,reactive_quantile_0.9,,True,29.0,0.03890180587768555,0.2604799270629883,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 5, 6, 3, 9, 6, 2, 1, 2, 1, 3, 0]",quantile_0.9,26.0,2.0,60.0,1.0,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 5, 6, 3, 9, 6, 2, 1, 2, 1, 3, 0]"
j10,18,1,reactive_quantile_0.9,,True,29.0,0.0370790958404541,0.24953913688659668,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 7, 10, 3, 10, 5, 2, 2, 4, 1, 2, 0]",quantile_0.9,27.0,2.0,60.0,1.0,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 7, 10, 3, 10, 5, 2, 2, 4, 1, 2, 0]"
j10,18,1,reactive_quantile_0.9,,True,29.0,0.036585330963134766,0.2268381118774414,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 8, 7, 3, 8, 6, 1, 3, 3, 1, 5, 0]",quantile_0.9,27.0,2.0,60.0,1.0,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 8, 7, 3, 8, 6, 1, 3, 3, 1, 5, 0]"
j10,18,1,reactive_quantile_0.9,,True,29.0,0.05716991424560547,0.3763728141784668,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 8, 9, 2, 7, 8, 1, 1, 2, 1, 4, 0]",quantile_0.9,27.0,2.0,60.0,1.0,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 8, 9, 2, 7, 8, 1, 1, 2, 1, 4, 0]"
j10,18,1,reactive_quantile_0.9,,True,29.0,0.03700590133666992,0.3224811553955078,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 6, 7, 1, 8, 5, 1, 2, 3, 1, 5, 0]",quantile_0.9,26.0,2.0,60.0,1.0,"[0, 0, 8, 12, 0, 15, 25, 19, 19, 27, 24, 29]","[0, 6, 7, 1, 8, 5, 1, 2, 3, 1, 5, 0]"
j10,19,1,proactive_quantile_0.5,60.0,False,inf,0.03714919090270996,inf,"[0, 0, 0, 5, 0, 12, 15, 18, 2, 14, 15, 26]","[0, 6, 6, 2, 1, 2, 5, 5, 6, 2, 2, 0]",quantile_0.5,28.0,,,,,
j10,19,1,proactive_quantile_0.5,60.0,False,inf,0.03714919090270996,inf,"[0, 0, 0, 5, 0, 12, 15, 18, 2, 14, 15, 26]","[0, 7, 3, 4, 1, 1, 4, 7, 10, 2, 2, 0]",quantile_0.5,28.0,,,,,
