,instance_folder,instance_id,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
12,ubo100,3,"[0, 1, 10, 3, 8, 6, 7, 9, 10, 3, 2, 3, 7, 5, 6, 2, 5, 1, 3, 1, 7, 5, 10, 8, 2, 9, 3, 8, 8, 4, 9, 3, 1, 7, 2, 7, 8, 3, 1, 7, 4, 6, 7, 3, 2, 3, 7, 1, 10, 4, 3, 2, 2, 9, 3, 9, 2, 8, 2, 1, 2, 9, 8, 8, 9, 4, 1, 8, 10, 6, 5, 8, 7, 7, 8, 9, 2, 2, 6, 9, 10, 2, 4, 4, 2, 5, 4, 10, 1, 3, 1, 8, 1, 10, 6, 9, 10, 1, 8, 6, 1, 0]",60,0.004,Infeasible,,
13,ubo100,4,"[0, 8, 2, 6, 7, 8, 8, 3, 9, 9, 3, 2, 8, 10, 4, 8, 8, 4, 9, 3, 10, 2, 8, 9, 9, 8, 8, 1, 7, 7, 8, 1, 1, 2, 2, 10, 4, 7, 1, 5, 8, 2, 6, 2, 1, 9, 1, 4, 4, 1, 1, 2, 6, 9, 5, 10, 6, 4, 9, 9, 10, 5, 6, 4, 5, 5, 6, 1, 5, 9, 9, 1, 3, 4, 3, 10, 9, 8, 10, 9, 5, 5, 8, 9, 5, 1, 1, 2, 3, 6, 8, 7, 4, 2, 8, 1, 6, 2, 6, 2, 1, 0]",60,60.002,Feasible,0.330097,412.0
14,ubo100,5,"[0, 8, 6, 3, 1, 2, 10, 7, 9, 1, 5, 1, 2, 9, 3, 3, 8, 8, 9, 4, 2, 10, 8, 8, 3, 1, 1, 6, 4, 7, 6, 9, 8, 2, 5, 10, 1, 6, 7, 1, 1, 3, 9, 2, 3, 4, 9, 2, 3, 5, 3, 4, 9, 1, 5, 4, 2, 4, 10, 8, 8, 9, 5, 5, 1, 6, 3, 7, 8, 10, 9, 3, 3, 9, 6, 10, 6, 2, 10, 2, 6, 9, 8, 1, 6, 6, 2, 8, 6, 4, 4, 10, 10, 10, 8, 7, 5, 2, 7, 6, 2, 0]",60,0.004,Infeasible,,
15,ubo100,6,"[0, 4, 1, 9, 5, 7, 10, 1, 6, 8, 5, 4, 9, 6, 4, 3, 7, 2, 7, 7, 1, 8, 9, 7, 4, 4, 3, 4, 1, 4, 4, 4, 4, 4, 2, 8, 9, 7, 1, 9, 10, 6, 1, 2, 9, 3, 4, 3, 3, 8, 4, 7, 4, 5, 5, 3, 1, 4, 7, 6, 2, 7, 5, 6, 4, 3, 4, 8, 3, 4, 2, 1, 4, 6, 10, 2, 1, 5, 5, 8, 1, 1, 9, 2, 8, 5, 2, 4, 6, 6, 6, 5, 9, 2, 1, 4, 1, 6, 6, 9, 1, 0]",60,0.004,Infeasible,,
16,ubo100,7,"[0, 9, 6, 3, 3, 6, 7, 1, 4, 4, 2, 1, 8, 2, 8, 4, 10, 7, 7, 3, 8, 9, 9, 2, 7, 7, 1, 4, 3, 6, 5, 5, 8, 4, 2, 8, 6, 10, 6, 6, 9, 5, 7, 5, 6, 4, 6, 8, 1, 1, 4, 4, 6, 5, 6, 10, 1, 2, 1, 5, 6, 6, 6, 3, 3, 6, 7, 10, 7, 3, 4, 9, 5, 4, 3, 7, 6, 10, 5, 10, 3, 2, 3, 1, 3, 1, 6, 2, 5, 8, 4, 10, 10, 3, 5, 2, 4, 7, 6, 10, 5, 0]",60,60.002,Feasible,0.341346,416.0
17,ubo100,8,"[0, 10, 9, 8, 3, 3, 7, 2, 8, 1, 1, 2, 1, 3, 2, 7, 4, 7, 1, 7, 3, 5, 7, 10, 8, 10, 4, 3, 8, 3, 10, 7, 6, 1, 1, 9, 6, 4, 1, 7, 1, 10, 5, 7, 3, 1, 5, 7, 6, 10, 2, 1, 7, 4, 7, 1, 2, 6, 4, 3, 8, 3, 4, 5, 1, 5, 8, 4, 2, 7, 4, 3, 5, 7, 6, 1, 8, 9, 8, 10, 9, 6, 8, 5, 6, 6, 4, 10, 10, 4, 9, 3, 3, 3, 10, 8, 4, 6, 7, 3, 4, 0]",60,60.001,Feasible,0.111392,395.0
18,ubo100,9,"[0, 9, 2, 8, 3, 3, 5, 7, 6, 10, 2, 4, 10, 10, 4, 3, 1, 8, 7, 7, 2, 9, 9, 9, 8, 7, 5, 1, 3, 4, 7, 9, 10, 2, 4, 8, 5, 1, 1, 3, 10, 6, 4, 3, 5, 6, 10, 3, 7, 4, 6, 4, 4, 7, 6, 1, 1, 9, 8, 1, 3, 6, 4, 4, 4, 3, 10, 5, 2, 10, 9, 6, 10, 8, 10, 9, 3, 7, 5, 4, 3, 5, 4, 1, 6, 3, 7, 8, 1, 5, 7, 1, 8, 2, 4, 2, 10, 10, 1, 8, 10, 0]",60,60.0,Unknown,,
19,ubo100,10,"[0, 8, 9, 2, 2, 3, 6, 9, 7, 6, 5, 10, 9, 9, 5, 7, 9, 2, 6, 1, 3, 10, 5, 8, 3, 7, 9, 10, 5, 7, 6, 8, 3, 4, 3, 8, 9, 8, 3, 6, 10, 10, 10, 8, 8, 3, 8, 1, 2, 10, 7, 10, 10, 10, 2, 7, 10, 3, 8, 7, 6, 1, 4, 6, 4, 10, 8, 5, 8, 7, 1, 9, 5, 10, 2, 9, 10, 1, 2, 8, 5, 9, 3, 6, 4, 3, 5, 3, 4, 3, 8, 5, 2, 5, 4, 1, 8, 8, 3, 2, 5, 0]",60,60.004,Feasible,0.28913,460.0
20,ubo50,1,"[0, 2, 3, 6, 8, 3, 6, 7, 5, 4, 2, 6, 3, 10, 6, 3, 3, 10, 6, 7, 8, 2, 7, 7, 2, 5, 4, 8, 7, 8, 2, 8, 6, 3, 2, 6, 3, 2, 6, 3, 5, 3, 5, 3, 6, 9, 2, 2, 6, 6, 9, 0]",600,0.002,Infeasible,,
21,ubo50,2,"[0, 1, 3, 1, 2, 5, 1, 7, 8, 4, 4, 5, 7, 7, 2, 10, 5, 3, 9, 10, 2, 2, 2, 4, 7, 4, 3, 2, 6, 4, 5, 10, 1, 2, 5, 8, 4, 5, 1, 5, 9, 3, 6, 8, 8, 3, 5, 3, 5, 9, 9, 0]",600,0.003,Infeasible,,
