instance_folder,instance_id,noise_factor,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,obj_pi,time_limit_rescheduling,time_limit_initial,solver_calls,estimated_start_times,estimated_durations
j10,8,1,reactive_robust,,True,51.0,0.031252145767211914,0.294295072555542,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 10, 11, 2, 7, 5, 1, 3, 2, 1, 3, 0]",robust,41.0,2.0,60.0,1.0,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 10, 11, 2, 7, 5, 1, 3, 2, 1, 3, 0]"
j10,8,1,reactive_robust,,True,51.0,0.03156304359436035,0.29454469680786133,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 10, 9, 2, 8, 7, 2, 3, 1, 1, 1, 0]",robust,39.0,2.0,60.0,1.0,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 10, 9, 2, 8, 7, 2, 3, 1, 1, 1, 0]"
j10,8,1,reactive_robust,,True,51.0,0.03239583969116211,0.2987043857574463,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 7, 7, 5, 6, 4, 2, 2, 1, 1, 2, 0]",robust,36.0,2.0,60.0,1.0,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 7, 7, 5, 6, 4, 2, 2, 1, 1, 2, 0]"
j10,8,1,reactive_robust,,True,51.0,0.030549287796020508,0.30504679679870605,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 7, 6, 2, 7, 3, 1, 2, 2, 1, 3, 0]",robust,35.0,2.0,60.0,1.0,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 7, 6, 2, 7, 3, 1, 2, 2, 1, 3, 0]"
j10,8,1,reactive_robust,,True,51.0,0.03145885467529297,0.29476380348205566,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 7, 6, 4, 9, 4, 2, 1, 1, 1, 2, 0]",robust,35.0,2.0,60.0,1.0,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 7, 6, 4, 9, 4, 2, 1, 1, 1, 2, 0]"
j10,8,1,reactive_robust,,True,51.0,0.031540870666503906,0.2885701656341553,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 9, 10, 4, 10, 3, 2, 2, 1, 1, 1, 0]",robust,39.0,2.0,60.0,1.0,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 9, 10, 4, 10, 3, 2, 2, 1, 1, 1, 0]"
j10,8,1,reactive_robust,,True,51.0,0.03103804588317871,0.3190169334411621,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 10, 7, 5, 8, 5, 2, 1, 1, 1, 2, 0]",robust,37.0,2.0,60.0,1.0,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 10, 7, 5, 8, 5, 2, 1, 1, 1, 2, 0]"
j10,8,1,reactive_robust,,True,51.0,0.03548741340637207,0.31557178497314453,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 9, 12, 5, 11, 7, 2, 2, 2, 1, 3, 0]",robust,41.0,2.0,60.0,1.0,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 9, 12, 5, 11, 7, 2, 2, 2, 1, 3, 0]"
j10,8,1,reactive_robust,,True,51.0,0.03299856185913086,0.29802703857421875,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 6, 6, 4, 8, 4, 1, 3, 1, 1, 3, 0]",robust,35.0,2.0,60.0,1.0,"[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]","[0, 6, 6, 4, 8, 4, 1, 3, 1, 1, 3, 0]"
j10,9,1,proactive_quantile_0.5,60.0,False,inf,0.038604021072387695,inf,"[0, 1, 6, 0, 1, 9, 16, 23, 30, 24, 21, 40]","[0, 5, 10, 1, 7, 8, 3, 5, 7, 7, 5, 0]",quantile_0.5,40.0,,,,,
j10,9,1,proactive_quantile_0.5,60.0,False,inf,0.038604021072387695,inf,"[0, 1, 6, 0, 1, 9, 16, 23, 30, 24, 21, 40]","[0, 6, 12, 2, 8, 9, 5, 9, 9, 7, 4, 0]",quantile_0.5,45.0,,,,,
