,instance_folder,instance_id,noise_factor,sample,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
57,j20,6,2,7,"[0, 3, 9, 8, 1, 7, 8, 2, 13, 1, 7, 3, 7, 6, 6, 4, 3, 4, 6, 6, 3, 0]",60,0.076,Optimal,0.0,82.0
58,j20,6,2,8,"[0, 1, 9, 9, 6, 8, 3, 10, 6, 2, 2, 7, 5, 4, 7, 11, 4, 11, 3, 9, 2, 0]",60,0.003,Infeasible,,
59,j20,6,2,9,"[0, 6, 6, 6, 9, 6, 11, 2, 4, 2, 9, 10, 1, 5, 3, 6, 5, 5, 1, 5, 2, 0]",60,0.003,Infeasible,,
60,j20,7,2,0,"[0, 7, 1, 11, 2, 6, 1, 3, 2, 9, 15, 3, 2, 3, 1, 8, 3, 5, 1, 3, 4, 0]",60,0.008,Optimal,0.0,68.0
61,j20,7,2,1,"[0, 6, 2, 4, 3, 1, 2, 12, 2, 8, 12, 2, 1, 5, 2, 11, 9, 4, 3, 2, 10, 0]",60,0.008,Optimal,0.0,69.0
62,j20,7,2,2,"[0, 9, 3, 8, 2, 4, 5, 11, 2, 12, 7, 1, 6, 4, 2, 5, 1, 5, 2, 3, 9, 0]",60,0.007,Optimal,0.0,65.0
63,j20,7,2,3,"[0, 9, 3, 12, 1, 7, 2, 6, 3, 9, 7, 2, 2, 4, 3, 11, 1, 3, 3, 2, 9, 0]",60,0.008,Optimal,0.0,65.0
64,j20,7,2,4,"[0, 5, 1, 13, 3, 1, 1, 10, 2, 3, 6, 1, 1, 6, 2, 9, 5, 6, 3, 3, 7, 0]",60,0.007,Optimal,0.0,65.0
65,j20,7,2,5,"[0, 9, 2, 11, 1, 5, 5, 10, 2, 6, 12, 1, 5, 3, 1, 13, 8, 2, 2, 1, 12, 0]",60,0.008,Optimal,0.0,71.0
66,j20,7,2,6,"[0, 6, 1, 15, 2, 9, 3, 6, 2, 4, 15, 1, 8, 3, 3, 9, 1, 3, 3, 7, 4, 0]",60,0.009,Optimal,0.0,66.0
67,j20,7,2,7,"[0, 9, 1, 9, 2, 2, 3, 7, 3, 2, 9, 2, 6, 2, 3, 4, 6, 5, 3, 1, 9, 0]",60,0.007,Optimal,0.0,65.0
68,j20,7,2,8,"[0, 10, 2, 8, 1, 4, 2, 4, 3, 6, 7, 3, 6, 1, 1, 14, 3, 8, 2, 6, 6, 0]",60,0.007,Optimal,0.0,65.0
69,j20,7,2,9,"[0, 7, 1, 8, 1, 2, 2, 11, 3, 9, 3, 1, 3, 6, 1, 5, 1, 4, 2, 6, 3, 0]",60,0.007,Optimal,0.0,65.0
70,j20,8,2,0,"[0, 7, 10, 12, 2, 2, 1, 1, 2, 10, 15, 9, 11, 5, 7, 7, 6, 3, 5, 2, 5, 0]",60,0.055,Optimal,0.0,71.0
71,j20,8,2,1,"[0, 12, 4, 7, 2, 2, 7, 1, 7, 12, 12, 10, 8, 12, 4, 1, 5, 2, 1, 1, 4, 0]",60,0.055,Optimal,0.0,72.0
72,j20,8,2,2,"[0, 12, 11, 11, 3, 2, 4, 7, 6, 4, 12, 6, 6, 11, 4, 4, 5, 5, 1, 2, 4, 0]",60,0.042,Optimal,0.0,63.0
73,j20,8,2,3,"[0, 11, 4, 3, 1, 2, 3, 8, 8, 13, 12, 11, 8, 12, 6, 8, 7, 8, 6, 1, 4, 0]",60,0.044,Optimal,0.0,77.0
74,j20,8,2,4,"[0, 7, 11, 6, 3, 1, 1, 3, 11, 10, 10, 12, 9, 6, 13, 7, 7, 1, 1, 2, 2, 0]",60,0.033,Optimal,0.0,73.0
75,j20,8,2,5,"[0, 3, 5, 3, 1, 2, 6, 7, 5, 8, 9, 5, 7, 14, 10, 6, 1, 5, 7, 1, 5, 0]",60,0.027,Optimal,0.0,64.0
76,j20,8,2,6,"[0, 11, 2, 5, 1, 2, 3, 8, 2, 10, 12, 11, 12, 15, 7, 1, 5, 2, 7, 1, 2, 0]",60,0.053,Optimal,0.0,72.0
77,j20,8,2,7,"[0, 10, 4, 6, 2, 1, 5, 8, 3, 13, 9, 3, 11, 5, 9, 7, 3, 8, 1, 1, 2, 0]",60,0.009,Optimal,0.0,63.0
78,j20,8,2,8,"[0, 12, 6, 9, 1, 1, 6, 2, 3, 4, 8, 7, 12, 3, 10, 6, 1, 6, 1, 2, 4, 0]",60,0.048,Optimal,0.0,65.0
79,j20,8,2,9,"[0, 11, 3, 7, 1, 2, 7, 9, 9, 14, 12, 5, 9, 8, 8, 5, 6, 9, 6, 1, 4, 0]",60,0.032,Optimal,0.0,74.0
80,j20,9,2,0,"[0, 6, 2, 15, 11, 10, 4, 7, 1, 3, 4, 5, 9, 6, 5, 7, 10, 5, 5, 6, 3, 0]",60,0.004,Infeasible,,
81,j20,9,2,1,"[0, 5, 2, 15, 13, 3, 5, 9, 2, 4, 10, 7, 2, 7, 6, 2, 10, 10, 7, 2, 1, 0]",60,0.003,Infeasible,,
82,j20,9,2,2,"[0, 5, 2, 11, 11, 4, 3, 11, 1, 10, 6, 7, 7, 2, 2, 4, 5, 11, 2, 5, 1, 0]",60,0.033,Optimal,0.0,86.0
83,j20,9,2,3,"[0, 6, 2, 12, 5, 1, 5, 11, 3, 10, 10, 3, 11, 1, 7, 2, 4, 10, 8, 5, 4, 0]",60,0.003,Infeasible,,
84,j20,9,2,4,"[0, 6, 2, 6, 9, 9, 1, 4, 3, 10, 10, 2, 9, 4, 5, 3, 1, 11, 8, 8, 2, 0]",60,0.003,Infeasible,,
85,j20,9,2,5,"[0, 2, 2, 6, 3, 9, 6, 8, 5, 8, 9, 3, 7, 4, 8, 6, 9, 14, 5, 5, 5, 0]",60,0.002,Infeasible,,
86,j20,9,2,6,"[0, 2, 1, 15, 5, 1, 6, 12, 5, 4, 10, 2, 10, 3, 5, 5, 1, 15, 2, 9, 3, 0]",60,0.044,Optimal,0.0,90.0
87,j20,9,2,7,"[0, 4, 2, 5, 15, 8, 3, 12, 1, 12, 5, 7, 8, 3, 8, 1, 7, 8, 2, 5, 1, 0]",60,0.051,Optimal,0.0,90.0
88,j20,9,2,8,"[0, 7, 2, 4, 5, 2, 6, 6, 3, 3, 10, 6, 10, 2, 6, 1, 10, 6, 10, 2, 5, 0]",60,0.003,Infeasible,,
89,j20,9,2,9,"[0, 5, 2, 9, 11, 9, 4, 11, 3, 10, 8, 6, 6, 6, 1, 6, 9, 14, 2, 2, 1, 0]",60,0.003,Infeasible,,
90,j20,10,2,0,"[0, 6, 14, 5, 1, 8, 2, 2, 2, 1, 1, 2, 8, 2, 7, 2, 3, 5, 3, 6, 3, 0]",60,0.003,Infeasible,,
91,j20,10,2,1,"[0, 5, 14, 5, 3, 5, 6, 3, 1, 5, 2, 2, 2, 3, 1, 7, 10, 2, 2, 7, 2, 0]",60,0.003,Infeasible,,
92,j20,10,2,2,"[0, 2, 3, 5, 2, 1, 1, 2, 2, 3, 2, 1, 8, 3, 6, 2, 10, 4, 1, 9, 2, 0]",60,0.014,Optimal,0.0,65.0
93,j20,10,2,3,"[0, 5, 3, 6, 4, 2, 3, 1, 1, 2, 2, 3, 8, 3, 10, 1, 7, 2, 3, 8, 5, 0]",60,0.042,Optimal,0.0,65.0
94,j20,10,2,4,"[0, 6, 12, 4, 7, 1, 1, 3, 1, 2, 2, 4, 11, 3, 1, 1, 8, 8, 2, 2, 4, 0]",60,0.003,Infeasible,,
95,j20,10,2,5,"[0, 1, 11, 6, 6, 7, 5, 2, 1, 3, 1, 4, 6, 2, 9, 4, 5, 7, 1, 8, 5, 0]",60,0.003,Infeasible,,
96,j20,10,2,6,"[0, 1, 15, 3, 1, 6, 3, 1, 2, 2, 1, 3, 5, 1, 2, 7, 10, 1, 3, 4, 2, 0]",60,0.003,Infeasible,,
97,j20,10,2,7,"[0, 3, 15, 5, 3, 3, 7, 1, 2, 3, 1, 7, 3, 1, 7, 6, 2, 3, 1, 7, 1, 0]",60,0.003,Infeasible,,
