method,instance,noise,avg_makespan,var_makespan,avg_online_time,var_online_time,avg_offline_time,var_offline_time
proactive_quantile_0.75,j10,1,23.514893617021276,57.951700309147114,0.0006174442615914352,9.026502055963672e-08,0.0680067549360559,0.0032949285498287567
proactive_quantile_0.75,j20,1,28.58823529411765,67.12562313060818,0.0017100342181549906,5.419437818500788e-07,0.11806984909442289,0.0032343006888325564
reactive,j10,1,23.3015873015873,63.21402969790068,0.11708801890176437,0.0022362809642887567,0.06936085413372702,0.0013720245047298696
reactive,j20,1,24.0,2.0,0.4145941734313965,0.016848080269483034,0.0806065797805786,1.8127793310896034e-05
stnu,j10,1,23.363218390804597,45.93689284390064,0.00839839858570313,8.725793370397773e-06,0.7826791368681809,2.058355267454548
stnu,j20,1,33.358361774744026,128.58004114264344,0.03151380324119589,0.0001394856209521808,0.9818228560503025,3.3544045407208753
