method_1,method_2,metric,p_value,significant,better,sum_pos_ranks,sum_neg_ranks,n_pairs
proactive_quantile_0.9,proactive_quantile_0.9,obj,,False,,,,0
proactive_quantile_0.9,reactive,obj,1.9507648132363152e-13,True,reactive,1740.0,9057.0,150
proactive_quantile_0.9,stnu,obj,3.5148905589863332e-09,True,stnu,12549.0,29320.0,289
reactive,proactive_quantile_0.9,obj,1.9507648132363152e-13,True,reactive,9057.0,1740.0,150
reactive,reactive,obj,,False,,,,0
reactive,stnu,obj,1.6350292793385292e-06,True,stnu,808.0,3108.0,88
stnu,proactive_quantile_0.9,obj,3.5148905589863332e-09,True,stnu,29320.0,12549.0,289
stnu,reactive,obj,1.6350292793385292e-06,True,stnu,3108.0,808.0,88
stnu,stnu,obj,,False,,,,0
proactive_quantile_0.9,proactive_quantile_0.9,time_online,,False,,,,0
proactive_quantile_0.9,reactive,time_online,2.2996057560669792e-26,True,proactive_quantile_0.9,11325.0,0.0,150
proactive_quantile_0.9,stnu,time_online,3.834017178359902e-49,True,proactive_quantile_0.9,41905.0,0.0,289
reactive,proactive_quantile_0.9,time_online,2.2996057560669792e-26,True,proactive_quantile_0.9,0.0,11325.0,150
reactive,reactive,time_online,,False,,,,0
reactive,stnu,time_online,3.732014234846569e-16,True,stnu,0.0,3916.0,88
stnu,proactive_quantile_0.9,time_online,3.834017178359902e-49,True,proactive_quantile_0.9,0.0,41905.0,289
stnu,reactive,time_online,3.732014234846569e-16,True,stnu,3916.0,0.0,88
stnu,stnu,time_online,,False,,,,0
proactive_quantile_0.9,proactive_quantile_0.9,time_offline,,False,,,,0
proactive_quantile_0.9,reactive,time_offline,,False,,,,0
proactive_quantile_0.9,stnu,time_offline,2.3351686912403604e-173,True,proactive_quantile_0.9,551775.0,0.0,1050
reactive,proactive_quantile_0.9,time_offline,,False,,,,0
reactive,reactive,time_offline,,False,,,,0
reactive,stnu,time_offline,1.5753513023728927e-26,True,reactive,11476.0,0.0,151
stnu,proactive_quantile_0.9,time_offline,2.3351686912403604e-173,True,proactive_quantile_0.9,0.0,551775.0,1050
stnu,reactive,time_offline,1.5753513023728927e-26,True,reactive,0.0,11476.0,151
stnu,stnu,time_offline,,False,,,,0
