method,instance,noise,avg_makespan,var_makespan,avg_online_time,var_online_time,avg_offline_time,var_offline_time
proactive_quantile_0.9,j10,1,27.522361359570663,52.49725893011715,0.0005645120719677153,8.35274112054267e-08,0.08000539496461048,0.002116988436612798
proactive_quantile_0.9,j10,2,30.46637744034707,56.832019239837784,0.0005585800799785132,7.867467972712987e-08,0.08117371060584473,0.001865981746742353
proactive_quantile_0.9,j20,1,39.575268817204304,111.51723038576355,0.0014254348252408728,5.440397706027443e-07,0.12826008501873218,0.0034734551064902063
proactive_quantile_0.9,j20,2,47.94755244755245,357.3761869709237,0.0012920052855164364,5.126231880166558e-07,0.3502669359420563,2.9473231962869106
reactive,j10,1,25.85880077369439,50.42769855906917,0.10581829561716811,0.0013799964517986563,0.08038852800483627,0.0021949576254190074
reactive,j10,2,27.899509803921568,57.46653538565303,0.11179147865258007,0.0007526961565939126,0.08130579894664237,0.0019022836843179632
reactive,j20,1,37.765079365079366,112.60068749368112,0.5023108626168872,1.0213402200888297,0.12829794051155208,0.0034002706144675913
reactive,j20,2,43.95238095238095,161.33743449532926,0.3697243747257051,0.00787072908989871,0.3678897221883138,3.085845523166828
stnu,j10,1,23.065934065934066,33.964806118991135,0.008455446264245959,9.307916347125974e-06,0.6479634981888991,0.02329729933133428
stnu,j10,2,24.48942598187311,39.79609997253502,0.008205898578793572,1.0663820912571169e-05,0.6323178671638051,0.0024770357737170165
stnu,j20,1,34.3,123.95268817204303,0.03091709188052581,0.00013137908273158814,0.7546356311866216,0.005742239294011915
stnu,j20,2,39.652542372881356,116.97663180670754,0.028636099928516408,8.384325412692652e-05,0.7441202674881887,0.004248364262383433
