method,instance_folder,count,sum,ratio,noise_factor
proactive_quantile_0.50,j10,1380,391,0.2833333333333333,ALL
proactive_quantile_0.50,j20,1060,174,0.1641509433962264,ALL
reactive,j10,1380,53,0.03840579710144928,ALL
reactive,j20,1060,0,0.0,ALL
stnu,j10,980,980,1.0,ALL
stnu,j20,647,647,1.0,ALL
proactive_quantile_0.50,j10,700,207,0.2957142857142857,1
proactive_quantile_0.50,j10,680,184,0.27058823529411763,2
proactive_quantile_0.50,j20,570,102,0.17894736842105263,1
proactive_quantile_0.50,j20,490,72,0.1469387755102041,2
reactive,j10,700,30,0.04285714285714286,1
reactive,j10,680,23,0.033823529411764704,2
reactive,j20,570,0,0.0,1
reactive,j20,490,0,0.0,2
stnu,j10,540,540,1.0,1
stnu,j10,440,440,1.0,2
stnu,j20,367,367,1.0,1
stnu,j20,280,280,1.0,2
