method,instance_folder,count,sum,ratio,noise_factor
proactive_quantile_0.75,j10,520,240,0.46153846153846156,ALL
proactive_quantile_0.75,j20,370,124,0.33513513513513515,ALL
reactive,j10,520,73,0.14038461538461539,ALL
reactive,j20,370,6,0.016216216216216217,ALL
stnu,j10,550,291,0.5290909090909091,ALL
stnu,j20,370,230,0.6216216216216216,ALL
proactive_quantile_0.75,j10,520,240,0.46153846153846156,2
proactive_quantile_0.75,j20,370,124,0.33513513513513515,2
reactive,j10,520,73,0.14038461538461539,2
reactive,j20,370,6,0.016216216216216217,2
stnu,j10,550,291,0.5290909090909091,2
stnu,j20,370,230,0.6216216216216216,2
