instance_folder,noise_factor,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations
j10,1,proactive_quantile_0.9,600,True,31,0.1022191047668457,0.0007293224334716797,"[0, 0, 0, 0, 8, 15, 9, 23, 28, 15, 8, 0, 0, 0, 0, 0, 0, 0, 68]","""[0, 6, 5, 9, 7, 4, 2, 3, 3, 1, 7, 46, 15, 23, 34, 69, 49, 65, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 6, 5, 9, 7, 4, 2, 3, 3, 1, 7, 46, 15, 23, 34, 69, 49, 65, 0]"
j10,1,stnu,600,False,inf,0.19449210166931152,inf,[],"""[0, 6, 5, 9, 7, 4, 2, 3, 3, 1, 7, 46, 15, 23, 34, 69, 49, 65, 0]"""
j10,1,proactive_quantile_0.9,600,True,31,0.0552973747253418,0.0007221698760986328,"[0, 0, 0, 0, 8, 15, 9, 23, 28, 15, 8, 0, 0, 0, 0, 0, 0, 0, 68]","""[0, 6, 9, 8, 8, 6, 1, 4, 2, 2, 6, 46, 15, 23, 34, 69, 49, 65, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 6, 9, 8, 8, 6, 1, 4, 2, 2, 6, 46, 15, 23, 34, 69, 49, 65, 0]"
j10,1,stnu,600,False,inf,0.22262215614318848,inf,[],"""[0, 6, 9, 8, 8, 6, 1, 4, 2, 2, 6, 46, 15, 23, 34, 69, 49, 65, 0]"""
j10,1,proactive_quantile_0.9,600,True,31,0.053720712661743164,0.0007319450378417969,"[0, 0, 0, 0, 8, 15, 9, 23, 28, 15, 8, 0, 0, 0, 0, 0, 0, 0, 68]","""[0, 5, 9, 8, 7, 8, 2, 6, 1, 1, 7, 46, 15, 23, 34, 69, 49, 65, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 5, 9, 8, 7, 8, 2, 6, 1, 1, 7, 46, 15, 23, 34, 69, 49, 65, 0]"
j10,1,stnu,600,False,inf,0.1575019359588623,inf,[],"""[0, 5, 9, 8, 7, 8, 2, 6, 1, 1, 7, 46, 15, 23, 34, 69, 49, 65, 0]"""
j10,1,proactive_quantile_0.9,600,True,31,0.05526423454284668,0.0007236003875732422,"[0, 0, 0, 0, 8, 15, 9, 23, 28, 15, 8, 0, 0, 0, 0, 0, 0, 0, 68]","""[0, 2, 10, 4, 6, 7, 1, 4, 4, 2, 5, 46, 15, 23, 34, 69, 49, 65, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 2, 10, 4, 6, 7, 1, 4, 4, 2, 5, 46, 15, 23, 34, 69, 49, 65, 0]"
j10,1,stnu,600,False,inf,0.15350651741027832,inf,[],"""[0, 2, 10, 4, 6, 7, 1, 4, 4, 2, 5, 46, 15, 23, 34, 69, 49, 65, 0]"""
j10,1,proactive_quantile_0.9,600,True,31,0.051323890686035156,0.0007197856903076172,"[0, 0, 0, 0, 8, 15, 9, 23, 28, 15, 8, 0, 0, 0, 0, 0, 0, 0, 68]","""[0, 6, 6, 7, 4, 9, 1, 4, 1, 1, 3, 46, 15, 23, 34, 69, 49, 65, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 6, 6, 7, 4, 9, 1, 4, 1, 1, 3, 46, 15, 23, 34, 69, 49, 65, 0]"
j10,1,stnu,600,False,inf,0.15802884101867676,inf,[],"""[0, 6, 6, 7, 4, 9, 1, 4, 1, 1, 3, 46, 15, 23, 34, 69, 49, 65, 0]"""
