method,instance_folder,count,sum,ratio,noise_factor
proactive_quantile_0.50,j10,1380,383,0.27753623188405796,ALL
proactive_quantile_0.50,j20,1060,180,0.16981132075471697,ALL
reactive,j10,1380,58,0.042028985507246375,ALL
reactive,j20,1060,3,0.002830188679245283,ALL
stnu,j10,1380,639,0.46304347826086956,ALL
stnu,j20,1060,523,0.49339622641509434,ALL
proactive_quantile_0.50,j10,700,197,0.2814285714285714,1
proactive_quantile_0.50,j10,680,186,0.2735294117647059,2
proactive_quantile_0.50,j20,570,101,0.17719298245614035,1
proactive_quantile_0.50,j20,490,79,0.16122448979591836,2
reactive,j10,700,28,0.04,1
reactive,j10,680,30,0.04411764705882353,2
reactive,j20,570,1,0.0017543859649122807,1
reactive,j20,490,2,0.004081632653061225,2
stnu,j10,700,393,0.5614285714285714,1
stnu,j10,680,246,0.36176470588235293,2
stnu,j20,570,295,0.5175438596491229,1
stnu,j20,490,228,0.46530612244897956,2
