method,instance_folder,count,sum,ratio,noise_factor
proactive_quantile_0.50,j10,1360,265,0.1948529411764706,ALL
proactive_quantile_0.50,j20,1090,131,0.12018348623853212,ALL
reactive,j10,1360,28,0.020588235294117647,ALL
reactive,j20,1090,0,0.0,ALL
stnu,j10,980,980,1.0,ALL
stnu,j20,648,648,1.0,ALL
proactive_quantile_0.50,j10,720,141,0.19583333333333333,1
proactive_quantile_0.50,j10,640,124,0.19375,2
proactive_quantile_0.50,j20,580,78,0.13448275862068965,1
proactive_quantile_0.50,j20,510,53,0.10392156862745099,2
reactive,j10,720,12,0.016666666666666666,1
reactive,j10,640,16,0.025,2
reactive,j20,580,0,0.0,1
reactive,j20,510,0,0.0,2
stnu,j10,540,540,1.0,1
stnu,j10,440,440,1.0,2
stnu,j20,368,368,1.0,1
stnu,j20,280,280,1.0,2
