method,instance_folder,count,sum,ratio,noise_factor
proactive_quantile_0.9,j10,600,314,0.5233333333333333,ALL
proactive_quantile_0.9,j20,450,199,0.44222222222222224,ALL
reactive,j10,600,143,0.23833333333333334,ALL
reactive,j20,450,8,0.017777777777777778,ALL
stnu,j10,660,411,0.6227272727272727,ALL
stnu,j20,480,261,0.54375,ALL
proactive_quantile_0.9,j10,600,314,0.5233333333333333,1
proactive_quantile_0.9,j20,450,199,0.44222222222222224,1
reactive,j10,600,143,0.23833333333333334,1
reactive,j20,450,8,0.017777777777777778,1
stnu,j10,660,411,0.6227272727272727,1
stnu,j20,480,261,0.54375,1
