method,instance,noise,avg_makespan,var_makespan,avg_online_time,var_online_time,avg_offline_time,var_offline_time
proactive_quantile_0.50,j10,1,19.934010152284262,41.786439448875996,0.0006164015852254818,9.012961702591526e-08,0.0669921957296768,0.0012357338178467883
proactive_quantile_0.50,j10,2,20.70967741935484,29.655797733217092,0.0006305158779184861,8.165583772657632e-08,0.07082038925540059,0.001246515886377067
proactive_quantile_0.50,j20,1,24.346534653465348,51.50871287128714,0.001825962916459139,5.012154356156292e-07,0.1173190362382643,0.002665786450778051
proactive_quantile_0.50,j20,2,25.924050632911392,31.891593638429093,0.0017624867113330233,6.131791803020264e-07,0.13141119027439546,0.004354824559968942
reactive,j10,1,21.857142857142858,31.238095238095237,0.05143191133226664,0.0002723056186365916,0.06145983082907536,0.0005510431297755041
reactive,j10,2,21.333333333333332,37.471264367816076,0.06401033401489255,0.00037892425309956756,0.07445628643035886,0.0012924579234791136
reactive,j20,1,37.0,,0.2876894474029541,,0.0759506225585937,
reactive,j20,2,39.0,450.0,0.19961678981781,0.007886854056351922,0.09763181209564205,0.00022251036173770328
stnu,j10,1,23.603053435114504,32.122643713974135,0.008465584301159837,9.538936353469552e-06,0.6605540486692473,0.06318908330108029
stnu,j10,2,25.739837398373982,42.83816160610586,0.00811301692714531,9.679264680066321e-06,0.622033472952804,0.0036455758861095116
stnu,j20,1,30.1864406779661,94.32226449901995,0.0311435311527575,0.00013381742707588542,0.7759697825221692,0.012506572084422206
stnu,j20,2,32.89035087719298,60.60025890717984,0.027738177985475728,8.035451945548947e-05,0.7810060821081463,0.2756292411016028
