method,instance,noise,avg_makespan,var_makespan,avg_online_time,var_online_time,avg_offline_time,var_offline_time
proactive_robust,j10,1,30.437037037037037,61.73443276300419,0.0005915994997377255,9.033106867755708e-08,0.08426477511723832,0.002301849570212557
proactive_robust,j10,2,37.961363636363636,86.54292296541726,0.0005551798777146252,8.58495796577683e-08,0.08542676893147552,0.0027183802522703624
proactive_robust,j20,1,45.00810810810811,190.85901267120778,0.0013655527217967575,5.142637044006966e-07,0.20747879389170054,0.33012905013319144
proactive_robust,j20,2,59.27857142857143,309.8289298515105,0.0011918749128068684,3.705956327616851e-07,0.12227257149560106,0.0033547807652111253
reactive,j10,1,27.416666666666668,60.89656771799629,0.10091334095707644,0.0009015908678259867,0.08426477511723832,0.002301849570212557
reactive,j10,2,31.245454545454546,77.61615241250776,0.11300776004791256,0.0017870980551023216,0.08542676893147552,0.0027183802522703624
reactive,j20,1,41.983783783783785,185.80461437046804,0.3614295837041494,0.0438718278993978,0.20747879389170054,0.33012905013319144
reactive,j20,2,52.68214285714286,279.1781746031746,0.42732844863619124,0.022370597541889675,0.12227257149560106,0.0033547807652111253
stnu,j10,1,23.00925925925926,34.13906067477496,0.008816688590579512,9.803818895523652e-06,0.6048239919874403,0.010983209599643457
stnu,j10,2,24.286363636363635,30.541954856077865,0.008425968343561298,9.767652465932753e-06,0.6235176866704767,0.012582495582182425
stnu,j20,1,33.64673913043478,115.50974410614856,0.03368340691794515,0.00015425583049470163,0.7934070877406908,0.18294343559568416
stnu,j20,2,38.57142857142857,97.04147465437788,0.029589674302509816,0.00010038891632525993,0.8209460037095206,0.06583952170183824
