instance_folder,noise_factor,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations
j10,1,proactive_robust,600,True,46,0.16297292709350586,0.0003001689910888672,"[0, 4, 7, 0, 15, 9, 15, 25, 38, 34, 44, 46]","""[0, 3, 2, 4, 7, 2, 2, 8, 4, 3, 1, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 3, 2, 4, 7, 2, 2, 8, 4, 3, 1, 0]"
j10,1,stnu,600,True,44,0.6933927536010742,0.01076197624206543,"[0, 4, 7, 0, 15, 12, 17, 22, 39, 33, 43, 44]","""[0, 3, 2, 4, 7, 2, 2, 8, 4, 3, 1, 0]"""
j10,1,proactive_robust,600,True,46,0.15386700630187988,0.0002789497375488281,"[0, 4, 7, 0, 15, 9, 15, 25, 38, 34, 44, 46]","""[0, 1, 1, 3, 4, 4, 1, 6, 4, 3, 1, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 1, 1, 3, 4, 4, 1, 6, 4, 3, 1, 0]"
j10,1,stnu,600,True,39,0.6777355670928955,0.010881662368774414,"[0, 3, 4, 0, 15, 11, 18, 19, 34, 30, 38, 39]","""[0, 1, 1, 3, 4, 4, 1, 6, 4, 3, 1, 0]"""
j10,1,proactive_robust,600,True,46,0.13863492012023926,0.0002396106719970703,"[0, 4, 7, 0, 15, 9, 15, 25, 38, 34, 44, 46]","""[0, 1, 1, 3, 6, 5, 3, 5, 5, 3, 1, 0]"""
j10,1,reactive,600,True,44,0.13863492012023926,0.1207740306854248,"[0, 4, 7, 0, 15, 9, 15, 25, 38, 34, 43, 44]","[0, 1, 1, 3, 6, 5, 3, 5, 5, 3, 1, 0]"
j10,1,stnu,600,True,42,0.6387951374053955,0.011055707931518555,"[0, 3, 4, 0, 16, 11, 19, 22, 36, 33, 41, 42]","""[0, 1, 1, 3, 6, 5, 3, 5, 5, 3, 1, 0]"""
j10,1,proactive_robust,600,True,46,0.12543272972106934,0.00022649765014648438,"[0, 4, 7, 0, 15, 9, 15, 25, 38, 34, 44, 46]","""[0, 2, 2, 1, 8, 5, 3, 7, 5, 2, 2, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 2, 2, 1, 8, 5, 3, 7, 5, 2, 2, 0]"
j10,1,stnu,600,True,45,0.6286556720733643,0.011119365692138672,"[0, 1, 3, 0, 14, 9, 17, 22, 38, 33, 43, 45]","""[0, 2, 2, 1, 8, 5, 3, 7, 5, 2, 2, 0]"""
j10,1,proactive_robust,600,True,46,0.15506744384765625,0.0003075599670410156,"[0, 4, 7, 0, 15, 9, 15, 25, 38, 34, 44, 46]","""[0, 2, 2, 2, 8, 3, 4, 4, 3, 1, 1, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 2, 2, 2, 8, 3, 4, 4, 3, 1, 1, 0]"
j10,1,stnu,600,True,38,0.6825549602508545,0.011143684387207031,"[0, 2, 4, 0, 13, 10, 16, 21, 34, 32, 37, 38]","""[0, 2, 2, 2, 8, 3, 4, 4, 3, 1, 1, 0]"""
j10,1,proactive_robust,600,True,46,0.16655397415161133,0.0002968311309814453,"[0, 4, 7, 0, 15, 9, 15, 25, 38, 34, 44, 46]","""[0, 1, 2, 3, 5, 5, 3, 6, 4, 3, 2, 0]"""
j10,1,reactive,600,True,44,0.16655397415161133,0.11459994316101074,"[0, 4, 7, 0, 15, 9, 15, 25, 38, 34, 42, 44]","[0, 1, 2, 3, 5, 5, 3, 6, 4, 3, 2, 0]"
j10,1,stnu,600,True,43,0.694936990737915,0.011089801788330078,"[0, 3, 4, 0, 16, 11, 19, 22, 37, 33, 41, 43]","""[0, 1, 2, 3, 5, 5, 3, 6, 4, 3, 2, 0]"""
j10,1,proactive_robust,600,True,46,0.16218328475952148,0.0002932548522949219,"[0, 4, 7, 0, 15, 9, 15, 25, 38, 34, 44, 46]","""[0, 2, 2, 3, 6, 3, 4, 3, 2, 3, 2, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 2, 2, 3, 6, 3, 4, 3, 2, 3, 2, 0]"
j10,1,stnu,600,True,39,0.7103579044342041,0.011080265045166016,"[0, 3, 5, 0, 14, 11, 17, 21, 35, 32, 37, 39]","""[0, 2, 2, 3, 6, 3, 4, 3, 2, 3, 2, 0]"""
j10,1,proactive_robust,600,True,46,0.16187095642089844,0.00029850006103515625,"[0, 4, 7, 0, 15, 9, 15, 25, 38, 34, 44, 46]","""[0, 1, 1, 1, 8, 6, 3, 8, 2, 1, 1, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 1, 1, 1, 8, 6, 3, 8, 2, 1, 1, 0]"
j10,1,stnu,600,True,43,0.6992330551147461,0.01116490364074707,"[0, 1, 2, 0, 15, 9, 18, 23, 40, 34, 42, 43]","""[0, 1, 1, 1, 8, 6, 3, 8, 2, 1, 1, 0]"""
j10,1,proactive_robust,600,True,46,0.15722179412841797,0.0003108978271484375,"[0, 4, 7, 0, 15, 9, 15, 25, 38, 34, 44, 46]","""[0, 2, 1, 2, 8, 6, 4, 6, 2, 3, 2, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 2, 1, 2, 8, 6, 4, 6, 2, 3, 2, 0]"
j10,1,stnu,600,True,43,0.7086994647979736,0.011817693710327148,"[0, 2, 4, 0, 16, 10, 19, 24, 39, 35, 41, 43]","""[0, 2, 1, 2, 8, 6, 4, 6, 2, 3, 2, 0]"""
j10,1,proactive_robust,600,True,46,0.1637592315673828,0.0003116130828857422,"[0, 4, 7, 0, 15, 9, 15, 25, 38, 34, 44, 46]","""[0, 3, 1, 3, 4, 4, 2, 7, 3, 2, 2, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 3, 1, 3, 4, 4, 2, 7, 3, 2, 2, 0]"
j10,1,stnu,600,True,41,0.6910362243652344,0.011070728302001953,"[0, 3, 6, 0, 15, 11, 18, 20, 36, 31, 39, 41]","""[0, 3, 1, 3, 4, 4, 2, 7, 3, 2, 2, 0]"""
j10,1,proactive_robust,600,True,27,0.05660581588745117,0.0003745555877685547,"[0, 0, 0, 0, 2, 1, 10, 18, 23, 8, 10, 27]","""[0, 7, 10, 2, 4, 9, 1, 6, 4, 6, 8, 0]"""
j10,1,reactive,600,True,27,0.05660581588745117,0.07664918899536133,"[0, 0, 0, 0, 2, 1, 10, 18, 23, 8, 10, 27]","[0, 7, 10, 2, 4, 9, 1, 6, 4, 6, 8, 0]"
j10,1,stnu,600,True,30,0.5714282989501953,0.00937962532043457,"[0, 0, 0, 0, 2, 0, 10, 18, 26, 7, 12, 30]","""[0, 7, 10, 2, 4, 9, 1, 6, 4, 6, 8, 0]"""
j10,1,proactive_robust,600,True,27,0.05180978775024414,0.00033545494079589844,"[0, 0, 0, 0, 2, 1, 10, 18, 23, 8, 10, 27]","""[0, 3, 8, 1, 2, 4, 1, 9, 3, 7, 10, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 3, 8, 1, 2, 4, 1, 9, 3, 7, 10, 0]"
j10,1,stnu,600,True,27,0.5687098503112793,0.010531187057495117,"[0, 0, 0, 0, 1, 0, 8, 16, 24, 6, 8, 27]","""[0, 3, 8, 1, 2, 4, 1, 9, 3, 7, 10, 0]"""
j10,1,proactive_robust,600,True,27,0.05484509468078613,0.0003275871276855469,"[0, 0, 0, 0, 2, 1, 10, 18, 23, 8, 10, 27]","""[0, 4, 7, 2, 2, 8, 3, 7, 2, 3, 5, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 4, 7, 2, 2, 8, 3, 7, 2, 3, 5, 0]"
j10,1,stnu,600,True,27,0.5655453205108643,0.01008749008178711,"[0, 0, 0, 0, 2, 0, 7, 17, 25, 6, 9, 27]","""[0, 4, 7, 2, 2, 8, 3, 7, 2, 3, 5, 0]"""
j10,1,proactive_robust,600,True,27,0.05467581748962402,0.00033092498779296875,"[0, 0, 0, 0, 2, 1, 10, 18, 23, 8, 10, 27]","""[0, 3, 10, 2, 3, 8, 2, 4, 2, 5, 6, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 3, 10, 2, 3, 8, 2, 4, 2, 5, 6, 0]"
j10,1,stnu,600,True,29,0.5657131671905518,0.010300159454345703,"[0, 0, 0, 0, 2, 0, 10, 19, 27, 6, 10, 29]","""[0, 3, 10, 2, 3, 8, 2, 4, 2, 5, 6, 0]"""
j10,1,proactive_robust,600,True,27,0.05070948600769043,0.00029778480529785156,"[0, 0, 0, 0, 2, 1, 10, 18, 23, 8, 10, 27]","""[0, 7, 8, 2, 4, 5, 1, 4, 4, 5, 8, 0]"""
j10,1,reactive,600,True,27,0.05070948600769043,0.09107136726379395,"[0, 0, 0, 0, 2, 1, 10, 18, 23, 8, 10, 27]","[0, 7, 8, 2, 4, 5, 1, 4, 4, 5, 8, 0]"
j10,1,stnu,600,True,28,0.558840274810791,0.010026693344116211,"[0, 0, 0, 0, 2, 0, 8, 16, 24, 7, 12, 28]","""[0, 7, 8, 2, 4, 5, 1, 4, 4, 5, 8, 0]"""
j10,1,proactive_robust,600,True,27,0.054549455642700195,0.000354766845703125,"[0, 0, 0, 0, 2, 1, 10, 18, 23, 8, 10, 27]","""[0, 5, 10, 1, 5, 7, 2, 6, 3, 5, 9, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 5, 10, 1, 5, 7, 2, 6, 3, 5, 9, 0]"
j10,1,stnu,600,True,30,0.5476856231689453,0.010111093521118164,"[0, 0, 0, 0, 1, 0, 10, 19, 27, 6, 10, 30]","""[0, 5, 10, 1, 5, 7, 2, 6, 3, 5, 9, 0]"""
j10,1,proactive_robust,600,True,27,0.05421590805053711,0.00032329559326171875,"[0, 0, 0, 0, 2, 1, 10, 18, 23, 8, 10, 27]","""[0, 4, 9, 1, 2, 8, 1, 4, 1, 6, 8, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 4, 9, 1, 2, 8, 1, 4, 1, 6, 8, 0]"
j10,1,stnu,600,True,26,0.5817868709564209,0.010086536407470703,"[0, 0, 0, 0, 1, 0, 9, 17, 25, 6, 9, 26]","""[0, 4, 9, 1, 2, 8, 1, 4, 1, 6, 8, 0]"""
j10,1,proactive_robust,600,True,27,0.04723334312438965,0.0002999305725097656,"[0, 0, 0, 0, 2, 1, 10, 18, 23, 8, 10, 27]","""[0, 5, 5, 2, 6, 4, 3, 8, 3, 4, 5, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 5, 5, 2, 6, 4, 3, 8, 3, 4, 5, 0]"
j10,1,stnu,600,True,29,0.5526061058044434,0.01009678840637207,"[0, 0, 0, 0, 2, 0, 8, 18, 26, 8, 10, 29]","""[0, 5, 5, 2, 6, 4, 3, 8, 3, 4, 5, 0]"""
j10,1,proactive_robust,600,True,27,0.04797053337097168,0.00027251243591308594,"[0, 0, 0, 0, 2, 1, 10, 18, 23, 8, 10, 27]","""[0, 4, 5, 2, 3, 5, 1, 8, 2, 3, 5, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 4, 5, 2, 3, 5, 1, 8, 2, 3, 5, 0]"
j10,1,stnu,600,True,23,0.5590987205505371,0.00987863540649414,"[0, 0, 0, 0, 2, 0, 5, 13, 21, 6, 9, 23]","""[0, 4, 5, 2, 3, 5, 1, 8, 2, 3, 5, 0]"""
