method_1,method_2,metric,p_value,significant,better,sum_pos_ranks,sum_neg_ranks,n_pairs
proactive_quantile_0.75,proactive_quantile_0.75,obj,,False,,,,0
proactive_quantile_0.75,reactive,obj,0.4603671614413769,False,reactive,910.0,1064.0,65
proactive_quantile_0.75,stnu,obj,0.062493743562046775,False,proactive_quantile_0.75,14712.0,11075.0,227
reactive,proactive_quantile_0.75,obj,0.4603671614413769,False,reactive,1064.0,910.0,65
reactive,reactive,obj,,False,,,,0
reactive,stnu,obj,0.834017276246199,False,reactive,447.0,411.0,41
stnu,proactive_quantile_0.75,obj,0.062493743562046775,False,proactive_quantile_0.75,11075.0,14712.0,227
stnu,reactive,obj,0.834017276246199,False,reactive,411.0,447.0,41
stnu,stnu,obj,,False,,,,0
proactive_quantile_0.75,proactive_quantile_0.75,time_online,,False,,,,0
proactive_quantile_0.75,reactive,time_online,2.4051050298460756e-12,True,proactive_quantile_0.75,2145.0,0.0,65
proactive_quantile_0.75,stnu,time_online,5.405572410884125e-39,True,proactive_quantile_0.75,25878.0,0.0,227
reactive,proactive_quantile_0.75,time_online,2.4051050298460756e-12,True,proactive_quantile_0.75,0.0,2145.0,65
reactive,reactive,time_online,,False,,,,0
reactive,stnu,time_online,4.547473508864641e-13,True,stnu,0.0,903.0,42
stnu,proactive_quantile_0.75,time_online,5.405572410884125e-39,True,proactive_quantile_0.75,0.0,25878.0,227
stnu,reactive,time_online,4.547473508864641e-13,True,stnu,903.0,0.0,42
stnu,stnu,time_online,,False,,,,0
proactive_quantile_0.75,proactive_quantile_0.75,time_offline,,False,,,,0
proactive_quantile_0.75,reactive,time_offline,,False,,,,0
proactive_quantile_0.75,stnu,time_offline,2.1404522582762825e-186,True,proactive_quantile_0.75,639009.0,6.0,1130
reactive,proactive_quantile_0.75,time_offline,,False,,,,0
reactive,reactive,time_offline,,False,,,,0
reactive,stnu,time_offline,1.640948467627228e-12,True,reactive,2211.0,0.0,66
stnu,proactive_quantile_0.75,time_offline,2.1404522582762825e-186,True,proactive_quantile_0.75,6.0,639009.0,1130
stnu,reactive,time_offline,1.640948467627228e-12,True,reactive,0.0,2211.0,66
stnu,stnu,time_offline,,False,,,,0
