method,instance_folder,count,sum,ratio,noise_factor
proactive_quantile_0.75,j10,1230,772,0.6276422764227643,ALL
proactive_quantile_0.75,j20,880,435,0.4943181818181818,ALL
reactive,j10,1230,462,0.375609756097561,ALL
reactive,j20,880,122,0.13863636363636364,ALL
stnu,j10,1220,693,0.5680327868852459,ALL
stnu,j20,880,496,0.5636363636363636,ALL
proactive_quantile_0.75,j10,640,399,0.6234375,1
proactive_quantile_0.75,j10,590,373,0.6322033898305085,2
proactive_quantile_0.75,j20,470,248,0.5276595744680851,1
proactive_quantile_0.75,j20,410,187,0.4560975609756098,2
reactive,j10,640,259,0.4046875,1
reactive,j10,590,203,0.3440677966101695,2
reactive,j20,470,66,0.14042553191489363,1
reactive,j20,410,56,0.13658536585365855,2
stnu,j10,670,425,0.6343283582089553,1
stnu,j10,550,268,0.48727272727272725,2
stnu,j20,510,284,0.5568627450980392,1
stnu,j20,370,212,0.572972972972973,2
