method,instance,noise,avg_makespan,var_makespan,avg_online_time,var_online_time,avg_offline_time,var_offline_time
proactive_quantile_0.5,j10,1,18.808383233532933,29.601616045018396,0.0007122790742062731,9.582243653759813e-08,0.06766098702025267,0.0016212460335726837
proactive_quantile_0.5,j10,2,20.11023622047244,22.162354705661787,0.0006537174615333843,8.380203934829315e-08,0.07257155546053186,0.001393693770229541
proactive_quantile_0.5,j20,1,24.766233766233768,65.47095010252903,0.002064159938267252,5.62835482614698e-07,0.11392489036956387,0.003337236013792573
proactive_quantile_0.5,j20,2,24.410714285714285,44.28279220779221,0.0019046877111706963,4.093538952243047e-07,0.11816590598651337,0.002579924710906552
reactive,j10,1,20.636363636363637,20.854545454545455,0.12254376844926312,0.0009986502235371764,0.07643480734391642,0.004249161984885385
reactive,j10,2,20.333333333333332,34.266666666666666,0.14130894343058262,0.0015122877921309428,0.07280039787292476,0.0013361479836476063
stnu,j10,1,23.96039603960396,37.95872540107609,0.009016976498141099,1.1859982296787814e-05,0.8046998186866836,0.04217425551166087
stnu,j10,2,27.74621212121212,71.11785631985252,0.008734463742285013,1.145924464149075e-05,0.865239705100204,0.23174968706772692
stnu,j20,1,35.04577464788732,119.04030010451399,0.03270217062721785,0.00015395382592041848,0.9775394612634686,0.020524687026939464
stnu,j20,2,39.44075829383886,125.18099751749041,0.028214625272705605,6.926364421678368e-05,0.9684553202859598,0.0247553280024847
