method,instance,noise,avg_makespan,var_makespan,avg_online_time,var_online_time,avg_offline_time,var_offline_time
proactive_quantile_0.50,j10,1,18.94326241134752,34.568186423505566,0.0006079437039422127,7.437937995694855e-08,0.06511573250412091,0.0022378896441363366
proactive_quantile_0.50,j10,2,20.153225806451612,26.651127720954626,0.0005667286534462694,6.184972037140436e-08,0.06375280695576817,0.0008523457002566998
proactive_quantile_0.50,j20,1,25.115384615384617,66.80469530469533,0.0018042173141087753,6.313928691106888e-07,0.10495000619154705,0.002565269484085884
proactive_quantile_0.50,j20,2,26.41509433962264,60.093613933236576,0.0017688949153107903,4.778048264102525e-07,0.10781852254327733,0.0015266009114523053
reactive,j10,1,21.75,41.84090909090909,0.1053608457247416,0.0007819001184177562,0.06013538440068559,0.0008126198636965621
reactive,j10,2,24.5,21.066666666666666,0.1320482045412063,0.0007153973452410859,0.060535132884979206,0.0007744385594871049
stnu,j10,1,22.744444444444444,43.63401360544218,0.008741616319726966,9.583637742714462e-06,0.6286047767709803,0.03055589889660436
stnu,j10,2,24.811363636363637,52.62720542555395,0.008375817537307692,9.532826247700795e-06,0.6308657451109453,0.02002474717913659
stnu,j20,1,33.22826086956522,116.721596967184,0.03349715082541751,0.00014932422272133323,0.7858635284330534,0.12826633182582203
stnu,j20,2,39.69285714285714,138.85873015873017,0.02979664717401772,0.00010136677290930942,0.7548983131136213,0.02028029981570609
