method,instance_folder,count,sum,ratio,noise_factor
proactive_robust,j10,980,980,1.0,ALL
proactive_robust,j20,650,650,1.0,ALL
reactive,j10,980,980,1.0,ALL
reactive,j20,650,650,1.0,ALL
stnu,j10,980,980,1.0,ALL
stnu,j20,648,648,1.0,ALL
proactive_robust,j10,540,540,1.0,1
proactive_robust,j10,440,440,1.0,2
proactive_robust,j20,370,370,1.0,1
proactive_robust,j20,280,280,1.0,2
reactive,j10,540,540,1.0,1
reactive,j10,440,440,1.0,2
reactive,j20,370,370,1.0,1
reactive,j20,280,280,1.0,2
stnu,j10,540,540,1.0,1
stnu,j10,440,440,1.0,2
stnu,j20,368,368,1.0,1
stnu,j20,280,280,1.0,2
