method,instance,noise,avg_makespan,var_makespan,avg_online_time,var_online_time,avg_offline_time,var_offline_time
proactive_quantile_0.50,j10,1,19.92753623188406,41.57239341494302,0.0005626759091436696,7.93999853604474e-08,0.06963343090481224,0.001230694684952711
proactive_quantile_0.50,j10,2,21.320652173913043,35.21356022808268,0.00058005944542258,7.761065670503633e-08,0.07270124684209404,0.001801233809422752
proactive_quantile_0.50,j20,1,24.607843137254903,70.1615220345564,0.0016981386670878772,5.000596395788188e-07,0.11695594881095135,0.0030671998998505466
proactive_quantile_0.50,j20,2,26.291666666666668,44.265845070422536,0.0016558998160891628,4.368488877109742e-07,0.1111176643106672,0.002202803202686779
reactive,j10,1,21.7,48.28620689655173,0.0525586366653442,0.0004337404373345557,0.0747636556625366,0.0014425024883941017
reactive,j10,2,22.782608695652176,36.63241106719368,0.06490359099014943,0.000660582790481236,0.08765728577323578,0.0018963977241419486
stnu,j10,1,22.23148148148148,35.0873187658902,0.008783676889207582,9.637389058107185e-06,0.6693800798168889,0.16036453182324462
stnu,j10,2,23.272727272727273,32.176019879892316,0.008293001218275545,9.43069047212251e-06,0.6731980090791528,0.050280127860602514
stnu,j20,1,31.722070844686648,102.78046783103288,0.03336787678565247,0.00014969884221481411,0.8332937419901751,0.12038313091629266
stnu,j20,2,35.839285714285715,103.84146185355863,0.02951546311378474,0.00010004615364420078,0.8130958608218601,0.07482461876451471
