method,instance_folder,count,sum,ratio,noise_factor
proactive_quantile_0.5,j10,1360,294,0.2161764705882353,ALL
proactive_quantile_0.5,j20,1090,133,0.12201834862385322,ALL
reactive,j10,1360,17,0.0125,ALL
reactive,j20,1090,0,0.0,ALL
stnu,j10,1380,668,0.48405797101449277,ALL
stnu,j20,1060,495,0.4669811320754717,ALL
proactive_quantile_0.5,j10,720,167,0.23194444444444445,1
proactive_quantile_0.5,j10,640,127,0.1984375,2
proactive_quantile_0.5,j20,580,77,0.13275862068965516,1
proactive_quantile_0.5,j20,510,56,0.10980392156862745,2
reactive,j10,720,11,0.015277777777777777,1
reactive,j10,640,6,0.009375,2
reactive,j20,580,0,0.0,1
reactive,j20,510,0,0.0,2
stnu,j10,700,404,0.5771428571428572,1
stnu,j10,680,264,0.38823529411764707,2
stnu,j20,570,284,0.4982456140350877,1
stnu,j20,490,211,0.4306122448979592,2
