method,instance_folder,count,sum,ratio,noise_factor
proactive_quantile_0.9,j10,480,309,0.64375,ALL
proactive_quantile_0.9,j20,300,152,0.5066666666666667,ALL
reactive,j10,480,169,0.35208333333333336,ALL
reactive,j20,300,25,0.08333333333333333,ALL
stnu,j10,520,336,0.6461538461538462,ALL
stnu,j20,320,258,0.80625,ALL
proactive_quantile_0.9,j10,480,309,0.64375,2
proactive_quantile_0.9,j20,300,152,0.5066666666666667,2
reactive,j10,480,169,0.35208333333333336,2
reactive,j20,300,25,0.08333333333333333,2
stnu,j10,520,336,0.6461538461538462,2
stnu,j20,320,258,0.80625,2
